data_yield;coleta_espectral;n;bandas_iniciais;representantes_spearman;bandas_vip_ge_1;componentes;r2_ajuste;rmse_ajuste;r2_cv_bloco;rmse_cv_bloco
24/02;D03M;24;2151;216;73;3;0.5517071593006911;6.110175597646911;0.374478449123115;7.217618588865659
02/03;D09M;23;2151;217;79;1;0.8224472118344643;5.225990556164486;0.7710516170237192;5.934356910459192
03/03;D10M;24;2151;216;104;2;0.2243745109499602;2.4628801722547333;-0.1372477902050726;2.9822551475796293
