fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;0.875;0.8571428571428571;0.75;0.96875
2;48;16;0.875;0.875;0.75;0.984375
3;48;16;0.8125;0.7692307692307693;0.625;0.96875
4;48;16;0.875;0.8571428571428571;0.75;0.90625
