fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;0.97
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.21
1;NIRRIG;1;1;0.6
1;NIRRIG;1;0;0.44
1;IRRIG;0;0;0.22
1;IRRIG;0;0;0.24
1;IRRIG;0;0;0.32
1;NIRRIG;1;1;0.97
1;NIRRIG;1;1;0.68
1;NIRRIG;1;1;0.78
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.02
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.13
2;IRRIG;0;0;0.13
2;NIRRIG;1;1;0.94
2;NIRRIG;1;1;0.99
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.22
2;IRRIG;0;0;0.19
2;NIRRIG;1;1;0.95
2;NIRRIG;1;1;0.97
2;IRRIG;0;0;0.01
2;IRRIG;0;0;0.04
2;NIRRIG;1;1;0.98
2;NIRRIG;1;1;0.99
2;NIRRIG;1;1;0.96
2;NIRRIG;1;1;0.9
3;IRRIG;0;0;0.03
3;NIRRIG;1;1;0.96
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.03
3;IRRIG;0;0;0.16
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;0.9
3;IRRIG;0;0;0.18
3;IRRIG;0;0;0.15
3;IRRIG;0;0;0.28
3;NIRRIG;1;1;0.96
3;NIRRIG;1;1;0.85
3;NIRRIG;1;1;0.76
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;0.98
4;IRRIG;0;0;0.06
4;IRRIG;0;0;0.07
4;IRRIG;0;0;0.27
4;IRRIG;0;0;0.19
4;NIRRIG;1;1;0.97
4;NIRRIG;1;1;0.97
4;NIRRIG;1;1;0.96
4;NIRRIG;1;1;0.92
4;IRRIG;0;0;0.1
4;IRRIG;0;0;0.1
4;NIRRIG;1;1;0.97
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.04
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;0.98
4;NIRRIG;1;1;0.97
