posicao;banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos;rank_vip;rank_boruta;score
1;1942;1.8395126549907246;True;100;100;1.0;0.03425293239945298;confirmada;True;1.1667266151190843e-11;1.510561498724011e-08;True;3;3.0;1.0;2.0
2;1360;1.7369036240750408;True;100;100;1.0;0.013099633816767701;confirmada;True;3.4306598839752663e-09;6.681171439873097e-06;True;3;6.0;14.0;10.0
3;1387;1.5797439643249012;True;100;100;1.0;0.00901293911987034;confirmada;True;7.379501860620855e-11;8.993430234092721e-07;True;3;9.0;27.0;18.0
4;1844;1.4737177611816006;True;100;100;1.0;0.007799744896716262;confirmada;True;1.1667266151190843e-11;1.0837902982790728e-05;True;3;13.0;29.0;21.0
5;425;1.1871833316763165;True;100;100;1.0;0.012963789452200582;confirmada;True;1.1667266151190843e-11;4.491283686022568e-06;True;3;36.0;16.0;26.0
