fold;bloco_teste;n_teste;accuracy;balanced_accuracy;precision;recall;f1;auc_roc
1;B4;16;0.5;0.5;0.5;1.0;0.6666666666666666;0.828125
2;B3;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.8984375
3;B2;16;0.5;0.5;0.0;0.0;0.0;0.0625
4;B1;16;0.25;0.25;0.0;0.0;0.0;0.0
