seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;48;16;0.8125;0.8235294117647058;0.625;0.84375
42;2;48;16;0.625;0.6666666666666666;0.25;0.8125
42;3;48;16;0.8125;0.8;0.625;0.78125
42;4;48;16;0.75;0.7142857142857143;0.5;0.75
43;1;48;16;0.875;0.8571428571428571;0.75;0.78125
43;2;48;16;0.6875;0.6666666666666666;0.375;0.78125
43;3;48;16;0.875;0.8571428571428571;0.75;0.84375
43;4;48;16;0.8125;0.8235294117647058;0.625;0.96875
44;1;48;16;0.75;0.75;0.5;0.875
44;2;48;16;0.9375;0.9333333333333333;0.875;0.96875
44;3;48;16;0.75;0.75;0.5;0.78125
44;4;48;16;0.6875;0.6666666666666666;0.375;0.75
45;1;48;16;0.9375;0.9333333333333333;0.875;0.96875
45;2;48;16;0.9375;0.9333333333333333;0.875;0.90625
45;3;48;16;0.625;0.6666666666666666;0.25;0.46875
45;4;48;16;0.8125;0.7692307692307693;0.625;0.765625
46;1;48;16;0.625;0.6666666666666666;0.25;0.71875
46;2;48;16;0.75;0.75;0.5;0.859375
46;3;48;16;0.8125;0.7692307692307693;0.625;0.796875
46;4;48;16;0.9375;0.9333333333333333;0.875;0.953125
