seed;fold;banda_nm;vip
42;1;405;1.1778080251010847
42;1;415;1.1445791983293045
42;1;425;1.1145215324588935
42;1;435;1.0966902876828835
42;1;445;1.0750723912248676
42;1;455;1.061639871732184
42;1;465;1.0472486152999958
42;1;475;1.0344548973549081
42;1;485;1.0238211548542617
42;1;495;1.012278342304742
42;1;505;1.0066556591607432
42;1;515;1.0110088256240266
42;1;525;1.0238337057430755
42;1;535;1.0236685708994469
42;1;545;1.011644641373634
42;1;555;1.0017967326140074
42;1;565;0.9936041972724886
42;1;575;0.984738622499149
42;1;585;0.9771771217754046
42;1;595;0.9729564308442419
42;1;605;0.9704632451993936
42;1;615;0.9674921437576897
42;1;625;0.9656194316666176
42;1;635;0.9645267716615926
42;1;645;0.963257117698621
42;1;655;0.9630313240300854
42;1;665;0.9628354474309139
42;1;675;0.9625845200940562
42;1;685;0.9621541550858087
42;1;695;0.9618393462474529
42;1;705;0.7569503256367451
42;1;715;0.5567520369836673
42;1;725;0.48289333638419896
42;1;735;0.8648572912154112
42;1;745;1.036879187423016
42;1;755;1.0545105616292667
42;1;765;1.0470611514255779
42;1;775;1.0368860644210514
42;1;785;1.029761528472717
42;1;795;1.0239922798619012
42;1;805;1.0201182007305565
42;1;815;1.0144140047273633
42;1;825;1.0065730399543873
42;1;835;0.9980270753823748
42;1;845;0.9883106555932467
42;1;855;0.9816164395299714
42;1;865;0.9763498688996409
42;1;875;0.9735626157617799
42;1;885;0.9714719923456719
42;1;895;0.9699419130961116
42;1;905;0.9683084789491883
42;1;915;0.9680034660879419
42;1;925;0.9667774660155839
42;1;935;0.9660631485167371
42;1;945;0.9652365462526463
42;1;955;0.9641592912358677
42;1;965;0.9641303009006845
42;1;975;0.9637226739714874
42;1;985;0.9642697941491656
42;1;995;0.9648370085446467
42;1;1005;0.9648794229439763
42;1;1015;0.9651568237762
42;1;1025;0.9659562034454584
42;1;1035;0.9654116095880133
42;1;1045;0.9649290531961527
42;1;1055;0.9641022455144698
42;1;1065;0.9618546197397467
42;1;1075;0.9596663111367919
42;1;1085;0.957651910628627
42;1;1095;0.9569353695490818
42;1;1105;0.9570978375450894
42;1;1115;0.958694099592842
42;1;1125;0.9603474182247201
42;1;1135;0.9619949624754545
42;1;1145;0.9617874586546105
42;1;1155;0.9613183872898524
42;1;1165;0.9615612686293074
42;1;1175;0.9621197791442438
42;1;1185;0.9624090566426854
42;1;1195;0.9619743374004545
42;1;1205;0.9614410479840827
42;1;1215;0.9597654000528341
42;1;1225;0.9602714136782864
42;1;1235;0.9589753275886
42;1;1245;0.9589697334265253
42;1;1255;0.9581815630161014
42;1;1265;0.9566490283610718
42;1;1275;0.9562990346078817
42;1;1285;0.9573361002710746
42;1;1295;0.9567710086492767
42;1;1305;0.95556339745663
42;1;1315;0.9534320161042005
42;1;1325;0.9486183879033002
42;1;1335;0.9350513692930625
42;1;1345;0.9006505699726136
42;1;1355;0.8176714201453591
42;1;1365;0.6204779847015988
42;1;1374;0.23028892981560362
42;1;1384;0.8253826212174548
42;1;1394;0.9209022282034901
42;1;1404;0.9365164236680723
42;1;1414;0.9437471640333243
42;1;1424;0.9523685706317973
42;1;1434;0.9659816234041528
42;1;1444;0.9816187878987777
42;1;1454;0.9948466094118854
42;1;1464;1.004635394908219
42;1;1474;1.0138157230498877
42;1;1484;1.026032061103946
42;1;1494;1.0355383153096354
42;1;1504;1.0455195851821637
42;1;1514;1.0575397501918427
42;1;1524;1.0677621281497645
42;1;1534;1.074185340378852
42;1;1544;1.0840806767673516
42;1;1554;1.0930707925491197
42;1;1564;1.106067999213984
42;1;1574;1.1218281124805622
42;1;1584;1.1462164093149483
42;1;1594;1.1754034649663525
42;1;1604;1.2090849185627313
42;1;1614;1.2461595176865128
42;1;1624;1.288275812930589
42;1;1634;1.3223111774959524
42;1;1644;1.347614595810376
42;1;1654;1.343249746322515
42;1;1664;1.32895445927613
42;1;1674;1.2747128609821095
42;1;1684;1.1595315348550077
42;1;1694;1.0373845941579178
42;1;1704;0.9235586847144809
42;1;1714;0.8298360140490011
42;1;1724;0.8157815493199212
42;1;1734;0.884090733448842
42;1;1744;0.9297027112875825
42;1;1754;0.9494092260315752
42;1;1764;0.9621906795049596
42;1;1774;0.9754909700454691
42;1;1784;0.9727156914633501
42;1;1794;0.9649817370479719
42;1;1804;0.9587386385759177
42;1;1814;0.9587576160071404
42;1;1824;0.9532350671983084
42;1;1834;0.9502777226097244
42;1;1844;0.9519072094276527
42;1;1854;0.9504783431127253
42;1;1864;0.9500118039070872
42;1;1874;0.9493175331413433
42;1;1884;0.9560043446021823
42;1;1894;0.9930201625022417
42;1;1904;1.1091485641489622
42;1;1914;1.2280373984388655
42;1;1924;1.2690861696656273
42;1;1934;1.2500284148324934
42;1;1944;1.2063111954879786
42;1;1954;1.159313603952638
42;1;1964;1.122131293953552
42;1;1974;1.094655990663018
42;1;1984;1.0743163297014968
42;1;1994;1.0600441461830936
42;1;2004;1.0484501903410808
42;1;2014;1.0377785896965872
42;1;2024;1.0286254910283545
42;1;2034;1.0190096818755248
42;1;2044;1.0094835171143612
42;1;2054;0.9994954231119565
42;1;2064;0.9886471906111591
42;1;2074;0.9792947390989525
42;1;2084;0.9710825093169974
42;1;2094;0.9652423239522644
42;1;2104;0.9613439039192537
42;1;2114;0.9594735941558291
42;1;2124;0.959054278389053
42;1;2134;0.9599411349557534
42;1;2144;0.9622138327085148
42;1;2154;0.9634005448671226
42;1;2164;0.9655305257089217
42;1;2174;0.9682519362984952
42;1;2184;0.9722553121542421
42;1;2194;0.974947700840417
42;1;2204;0.979521707006013
42;1;2214;0.981424120065865
42;1;2224;0.9851096549024435
42;1;2234;0.9883491499662077
42;1;2244;0.9954550172821065
42;1;2254;1.0062972711729383
42;1;2264;1.0126091904473677
42;1;2274;1.0113999135683667
42;1;2284;1.0013517375654994
42;1;2294;1.0027877757113393
42;1;2304;1.0022441781830336
42;1;2314;0.9890415640527066
42;1;2324;0.9787314608115452
42;1;2334;0.9726491781424074
42;1;2344;0.9670016747575061
42;1;2354;0.9597774403828463
42;1;2364;0.9546054026778865
42;1;2374;0.9499913651991123
42;1;2384;0.9468133969890865
42;1;2394;0.9442874771059574
42;1;2404;0.9422635600701023
42;1;2414;0.9424200120023427
42;1;2424;0.9426960146772602
42;1;2434;0.9463535312623123
42;1;2444;0.953639521843263
42;1;2450;0.9620044041358164
42;2;405;1.1946015938986594
42;2;415;1.1575705606585731
42;2;425;1.129196058987431
42;2;435;1.1130444254465266
42;2;445;1.0898856150143839
42;2;455;1.076864530026631
42;2;465;1.0625618701273112
42;2;475;1.050118248165344
42;2;485;1.0383634262241377
42;2;495;1.0275841706388356
42;2;505;1.0232091652403208
42;2;515;1.032345599099225
42;2;525;1.0555016418329721
42;2;535;1.0622267987553837
42;2;545;1.0484558449600652
42;2;555;1.0332361024016414
42;2;565;1.0163677707459633
42;2;575;1.0007433948820914
42;2;585;0.9902715654573728
42;2;595;0.985238358077632
42;2;605;0.9822150613798729
42;2;615;0.979181187895418
42;2;625;0.9776632013556866
42;2;635;0.976963506378232
42;2;645;0.9761648218779497
42;2;655;0.9761402913390187
42;2;665;0.9761740842448239
42;2;675;0.9760007189844814
42;2;685;0.9754475006375958
42;2;695;0.9733488638849754
42;2;705;0.6634898063940451
42;2;715;0.3728795556957194
42;2;725;0.3168749908108946
42;2;735;0.8823052660945461
42;2;745;1.0663023360484363
42;2;755;1.073782125152073
42;2;765;1.0608016704019945
42;2;775;1.0474652308553956
42;2;785;1.0386385426706548
42;2;795;1.031916512404469
42;2;805;1.0272863545786328
42;2;815;1.021100401368343
42;2;825;1.012649162021632
42;2;835;1.0038833186404938
42;2;845;0.9944631786466873
42;2;855;0.9881342394407208
42;2;865;0.9838925777688501
42;2;875;0.981879297147952
42;2;885;0.9805798804861536
42;2;895;0.9796758495783395
42;2;905;0.9790286521004451
42;2;915;0.9788939555989464
42;2;925;0.9786886709829998
42;2;935;0.9785345033234314
42;2;945;0.9787975681242523
42;2;955;0.9787643944151272
42;2;965;0.9781535453516237
42;2;975;0.9803539853375042
42;2;985;0.9820206904505454
42;2;995;0.9842577341107942
42;2;1005;0.9853833855089852
42;2;1015;0.9857474148872225
42;2;1025;0.9859651278110297
42;2;1035;0.9858681085412797
