genotipo;posicao;banda_nm;vip;p_valor;q_fdr
CD202;1;1480;1.2105645211820315;9.59158642896481e-50;3.730061389041871e-49
CD202;2;2007;1.2032069872199451;2.793025512687078e-57;3.258529764801591e-56
CD202;3;1997;1.2028202245405912;7.542890775601521e-59;1.320005885730266e-57
CD202;4;1987;1.2017479847684231;8.747021584873783e-61;3.061457554705824e-59
CD202;5;1470;1.1772736218960074;1.2106941800712177e-47;3.5311913585410513e-47
CD202;6;1345;1.1647223763288053;1.488390448369581e-49;5.209366569293534e-49
CD202;7;1952;1.1437351132354414;4.799906834680452e-57;4.199918480345395e-56
CD202;8;1950;1.135211301718868;3.7350420257133645e-56;2.614529417999355e-55
CD202;9;1946;1.1155054914589746;6.978542364507068e-54;4.07081637929579e-53
CD202;10;1942;1.0929451181130385;1.0462353592515526e-51;5.231176796257763e-51
CD202;11;1940;1.0810738740388404;1.887294631942095e-50;8.256914014746666e-50
CD202;12;1938;1.0687353901855279;4.616638036830477e-49;1.4689302844460608e-48
CD202;13;1936;1.0558413085342864;1.330562240826252e-47;3.582282956070678e-47
CD202;14;1935;1.049395434317323;8.018900250636152e-47;2.004725062659038e-46
CD202;15;1932;1.0305814209243351;1.719319960598539e-44;4.0117465747299245e-44
CD202;16;1930;1.0187289660639849;5.770543839413833e-43;1.262306464871776e-42
CD202;17;1928;1.007576783775432;1.927843599341404e-41;3.9690897633499496e-41
CD202;18;1926;0.9974645216793105;6.268620077939408e-40;1.2188983484882183e-39
CD202;19;1355;0.9943146694591357;2.2254925739561152e-36;3.709154289926859e-36
CD202;20;1922;0.9810443461199602;1.8747824924263818e-37;3.453546696574914e-37
CD202;21;1912;0.9759715379427684;5.169130951009874e-35;7.866068838493287e-35
CD202;22;1920;0.9752829846655726;2.031294013765426e-36;3.5547645240894954e-36
CD202;23;1916;0.9708512205440306;3.302342764655932e-35;5.253727125588983e-35
CD202;24;1357;0.9413073418089831;9.555984309228616e-32;1.3935810450958397e-31
CD202;25;1360;0.8512655461987713;2.1973473634429555e-25;3.076286308820138e-25
CD202;26;720;0.81905363016088;0.033592013135536794;0.037926466443347996
CD202;27;1365;0.6768193745998838;5.132646284021479e-16;6.909331536182759e-16
CD202;28;1367;0.598124170251143;1.2801034789322294e-12;1.6001293486652865e-12
CD202;29;1836;0.5756214150751651;1.3306931956892413e-14;1.724972661078646e-14
CD202;30;1368;0.555540443039431;6.192725535581737e-11;7.224846458178694e-11
CD202;31;1388;0.4958432557369125;7.490319541039594e-12;9.040040825392614e-12
