genotipo;banda_nm;estatistica_u;p_valor;q_fdr;significativa_fdr
CD202;1987;48374.0;8.747021584873783e-61;3.061457554705824e-59;True
CD202;1997;47996.0;7.542890775601521e-59;1.320005885730266e-57;True
CD202;2007;47685.0;2.793025512687078e-57;3.258529764801591e-56;True
CD202;1952;47638.0;4.799906834680452e-57;4.199918480345395e-56;True
CD202;1950;47459.0;3.7350420257133645e-56;2.614529417999355e-55;True
CD202;1946;46996.0;6.978542364507068e-54;4.07081637929579e-53;True
CD202;1942;46543.0;1.0462353592515526e-51;5.231176796257763e-51;True
CD202;1940;46277.0;1.887294631942095e-50;8.256914014746666e-50;True
CD202;1480;46126.0;9.59158642896481e-50;3.730061389041871e-49;True
CD202;1345;4987.0;1.488390448369581e-49;5.209366569293534e-49;True
CD202;1938;45979.0;4.616638036830477e-49;1.4689302844460608e-48;True
CD202;1470;45670.0;1.2106941800712177e-47;3.5311913585410513e-47;True
CD202;1936;45661.0;1.330562240826252e-47;3.582282956070678e-47;True
CD202;1935;45489.0;8.018900250636152e-47;2.004725062659038e-46;True
CD202;1932;44966.0;1.719319960598539e-44;4.0117465747299245e-44;True
CD202;1930;44616.0;5.770543839413833e-43;1.262306464871776e-42;True
CD202;1928;44260.0;1.927843599341404e-41;3.9690897633499496e-41;True
CD202;1926;43900.0;6.268620077939408e-40;1.2188983484882183e-39;True
CD202;1922;43295.0;1.8747824924263818e-37;3.453546696574914e-37;True
CD202;1920;43036.0;2.031294013765426e-36;3.5547645240894954e-36;True
CD202;1355;8046.0;2.2254925739561152e-36;3.709154289926859e-36;True
CD202;1916;42728.0;3.302342764655932e-35;5.253727125588983e-35;True
CD202;1912;42678.0;5.169130951009874e-35;7.866068838493287e-35;True
CD202;1357;9256.0;9.555984309228616e-32;1.3935810450958397e-31;True
CD202;1360;11079.0;2.1973473634429555e-25;3.076286308820138e-25;True
CD202;1365;14277.0;5.132646284021479e-16;6.909331536182759e-16;True
CD202;1836;36232.0;1.3306931956892413e-14;1.724972661078646e-14;True
CD202;1367;15682.0;1.2801034789322294e-12;1.6001293486652865e-12;True
CD202;1388;35045.0;7.490319541039594e-12;9.040040825392614e-12;True
CD202;1368;16456.0;6.192725535581737e-11;7.224846458178694e-11;True
CD202;720;28487.0;0.033592013135536794;0.037926466443347996;True
CD202;1375;22984.0;0.06612468838687979;0.07232387792314977;False
CD202;710;27293.0;0.20586326921736064;0.21833983098810977;False
CD202;1378;26486.0;0.49408559425430776;0.5086175234970816;False
CD202;1377;25353.0;0.8954307410995416;0.8954307410995416;False
