fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;0.98
1;NIRRIG;1;1;0.98
1;NIRRIG;1;1;0.98
1;IRRIG;0;0;0.01
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.29
1;NIRRIG;1;1;0.98
1;NIRRIG;1;1;0.98
1;IRRIG;0;0;0.02
1;IRRIG;0;0;0.06
1;IRRIG;0;0;0.0
1;NIRRIG;1;1;0.88
1;NIRRIG;1;1;0.99
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.04
1;IRRIG;0;0;0.16
2;IRRIG;0;0;0.07
2;IRRIG;0;0;0.13
2;IRRIG;0;0;0.06
2;NIRRIG;1;1;0.94
2;NIRRIG;1;1;0.98
2;IRRIG;0;0;0.03
2;IRRIG;0;0;0.16
2;IRRIG;0;0;0.11
2;NIRRIG;1;1;0.93
2;NIRRIG;1;1;0.98
2;IRRIG;0;0;0.08
2;IRRIG;0;1;0.53
2;NIRRIG;1;1;0.94
2;NIRRIG;1;1;0.89
2;NIRRIG;1;1;0.99
2;NIRRIG;1;1;0.99
3;IRRIG;0;0;0.02
3;NIRRIG;1;1;0.98
3;NIRRIG;1;1;0.97
3;IRRIG;0;0;0.01
3;IRRIG;0;0;0.03
3;NIRRIG;1;1;0.95
3;NIRRIG;1;1;0.95
3;IRRIG;0;0;0.07
3;IRRIG;0;0;0.08
3;IRRIG;0;0;0.1
3;NIRRIG;1;1;0.95
3;NIRRIG;1;1;0.99
3;NIRRIG;1;1;0.99
3;IRRIG;0;0;0.04
3;IRRIG;0;0;0.14
3;NIRRIG;1;1;0.96
4;IRRIG;0;0;0.11
4;IRRIG;0;0;0.08
4;IRRIG;0;0;0.03
4;IRRIG;0;0;0.03
4;NIRRIG;1;1;0.98
4;NIRRIG;1;1;0.75
4;NIRRIG;1;1;0.7
4;NIRRIG;1;1;0.97
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.02
4;NIRRIG;1;1;0.82
4;IRRIG;0;0;0.12
4;IRRIG;0;0;0.15
4;NIRRIG;1;1;0.96
4;NIRRIG;1;1;0.98
4;NIRRIG;1;1;0.96
