fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
1;1;1;0.7843141383364418
1;1;1;0.7996672144657226
1;1;1;0.8478568857863695
1;0;1;0.7262280917321278
1;0;1;0.726091015350353
1;0;0;0.029064080976863194
1;1;1;0.6724805243665537
1;1;1;0.6699769278472987
1;0;1;0.9781794791534382
1;0;1;0.9881280458110556
1;0;1;0.9966627401030601
1;1;1;0.8620988593606074
1;1;1;1.1183737214232465
1;1;1;1.1490535513119335
1;0;0;-0.2832737405170578
1;0;0;-0.018631013692076204
2;0;0;-0.25226729662360914
2;0;0;0.2459595218677399
2;0;0;0.1947287061685773
2;1;1;0.5141118327453332
2;1;1;0.8493685115648941
2;0;1;0.5788668344856195
2;0;0;0.4797149152810052
2;0;0;0.4660601752860094
2;1;1;1.110659806989624
2;1;1;0.6601594584440098
2;0;0;0.4238303984280811
2;0;0;-6.883046288486128e-06
2;1;0;0.34913403057684955
2;1;0;0.3870273588577391
2;1;1;1.1346426134518601
2;1;1;1.0947198259895496
3;0;0;-0.3345125722081923
3;1;1;0.5518774936987114
3;1;1;0.867787541595024
3;0;1;0.5402379564015947
3;0;0;0.3668628411326298
3;1;1;0.9777835162841072
3;1;1;1.0830454957921976
3;0;0;0.14427576986037088
3;0;0;0.1801868275853098
3;0;0;0.1883926375194389
3;1;1;0.720532163231784
3;1;1;0.6808244044649021
3;1;1;0.6946828370321307
3;0;0;0.3346052672708621
3;0;0;0.18302594762523305
3;1;0;0.3936350798551371
4;0;0;-0.14817378248380986
4;0;0;-0.19539795586301334
4;0;0;-0.07900949465081919
4;0;0;-0.08451507607239328
4;1;1;0.8937936054852245
4;1;1;0.9613859698779712
4;1;1;0.967598037123758
4;1;1;0.9445319648936215
4;0;0;0.4096501720853095
4;0;0;0.06584660124085318
4;1;1;0.8327751352796644
4;0;0;0.03503013060226562
4;0;0;-0.06415729550050187
4;1;1;0.5535807215800307
4;1;1;1.1557077123282946
4;1;1;1.1509977872717947
