modelo;modo;genotipo;fold;banda_nm;importancia
random_forest;por_genotipo;BR16;1;1942;0.35204401380652195
random_forest;por_genotipo;BR16;1;425;0.2722574019860292
random_forest;por_genotipo;BR16;1;1360;0.17614446368064673
random_forest;por_genotipo;BR16;1;1387;0.11142924973113
random_forest;por_genotipo;BR16;1;1844;0.0881248707956719
random_forest;por_genotipo;BR16;2;1942;0.3571758841780697
random_forest;por_genotipo;BR16;2;425;0.27421661145033815
random_forest;por_genotipo;BR16;2;1360;0.17830229932084643
random_forest;por_genotipo;BR16;2;1844;0.09634582740511742
random_forest;por_genotipo;BR16;2;1387;0.09395937764562828
random_forest;por_genotipo;BR16;3;1942;0.36738733681573366
random_forest;por_genotipo;BR16;3;425;0.27074319549412473
random_forest;por_genotipo;BR16;3;1360;0.17343965412892107
random_forest;por_genotipo;BR16;3;1387;0.0977711939014103
random_forest;por_genotipo;BR16;3;1844;0.09065861965981023
random_forest;por_genotipo;BR16;4;1942;0.3591748353620901
random_forest;por_genotipo;BR16;4;425;0.2555279644386508
random_forest;por_genotipo;BR16;4;1360;0.18317187601280235
random_forest;por_genotipo;BR16;4;1387;0.10296230726933135
random_forest;por_genotipo;BR16;4;1844;0.0991630169171255
random_forest;por_genotipo;BR16;5;1942;0.3646124687250367
random_forest;por_genotipo;BR16;5;425;0.26678353646177894
random_forest;por_genotipo;BR16;5;1360;0.16892012634475564
random_forest;por_genotipo;BR16;5;1844;0.10033792145863814
random_forest;por_genotipo;BR16;5;1387;0.09934594700979071
