genotipo;n_dobras;accuracy;accuracy_dp;accuracy_variancia;accuracy_ic95_inf;accuracy_ic95_sup;f1;f1_dp;f1_variancia;f1_ic95_inf;f1_ic95_sup;kappa;kappa_dp;kappa_variancia;kappa_ic95_inf;kappa_ic95_sup;auc_roc;auc_roc_dp;auc_roc_variancia;auc_roc_ic95_inf;auc_roc_ic95_sup
BR16;20;0.7897321428571429;0.03565255473270957;0.0012711046589688516;0.7730462336165604;0.8064180520977253;0.8062950659222535;0.031210498489180248;0.0009740952159431225;0.7916881029977704;0.8209020288467367;0.5794642857142857;0.07130510946541911;0.005084418635875402;0.5460924672331209;0.6128361041954504;0.8943558673469386;0.027184361671964172;0.0007389895195121547;0.8816331944551302;0.907078540238747
CD202;20;0.8371681415929204;0.03590691786149611;0.0012893067503122282;0.8203631867436039;0.853973096442237;0.8207458704322083;0.043613680628252764;0.0019021531379432304;0.8003340395811891;0.8411577012832274;0.6738397447073008;0.07203486165963377;0.005189021294322576;0.6401263916861271;0.7075530977284745;0.9421052631578947;0.02091307599629673;0.0004373567476268824;0.9323176423090734;0.9518928840067159
EMB48;20;0.8290178571428571;0.03430917802225572;0.001177119696562835;0.8129606675560161;0.8450750467296981;0.8347207291476375;0.030080680785417886;0.0009048473565142087;0.8206425371851434;0.8487989211101317;0.6580357142857143;0.06861835604451147;0.004708478786251343;0.6259213351120323;0.6901500934593963;0.9116549744897959;0.027446970195097037;0.0007533361728905452;0.8988093970259127;0.9245005519536792
