dia;genotipo;condicao;posicao;banda_nm;teste;H;p_kruskal;q_kruskal;U;p_mannwhitney;q_mannwhitney;p_valor;q_fdr;epsilon2;genotipo_referencia;n_genotipo;n_referencia;delta_cliff
D03;EMB48;NIRRIG;3;720;mannwhitney;41.53846153846154;1.1557460629092276e-10;3.950725291711377e-08;32.0;4.7822135506150934e-14;1.6347199987185925e-11;4.7822135506150934e-14;1.6347199987185925e-11;0.6538461538461539;BR16;32;32;0.9375
D03;EMB48;NIRRIG;4;721;mannwhitney;41.53846153846154;1.1557460629092276e-10;3.950725291711377e-08;32.0;4.7822135506150934e-14;1.6347199987185925e-11;4.7822135506150934e-14;1.6347199987185925e-11;0.6538461538461539;BR16;32;32;0.9375
D03;EMB48;NIRRIG;5;722;mannwhitney;41.53846153846154;1.1557460629092276e-10;3.950725291711377e-08;32.0;4.7822135506150934e-14;1.6347199987185925e-11;4.7822135506150934e-14;1.6347199987185925e-11;0.6538461538461539;BR16;32;32;0.9375
D04;BR16;IRRIG;1;523;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;CD202;32;32;-1.0
D04;BR16;IRRIG;2;524;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;CD202;32;32;-1.0
D04;BR16;IRRIG;3;525;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;CD202;32;32;-1.0
D04;BR16;IRRIG;4;526;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;CD202;32;32;-1.0
D04;BR16;IRRIG;5;527;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;CD202;32;32;-1.0
D04;BR16;NIRRIG;1;703;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;CD202;32;32;-1.0
D04;BR16;NIRRIG;2;704;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;CD202;32;32;-1.0
D04;BR16;NIRRIG;3;705;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;CD202;32;32;-1.0
D04;BR16;NIRRIG;4;706;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;CD202;32;32;-1.0
D04;BR16;NIRRIG;5;707;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;CD202;32;32;-1.0
D04;CD202;IRRIG;1;523;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;BR16;32;32;1.0
D04;CD202;IRRIG;2;524;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;BR16;32;32;1.0
D04;CD202;IRRIG;3;525;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;BR16;32;32;1.0
D04;CD202;IRRIG;4;526;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;BR16;32;32;1.0
D04;CD202;IRRIG;5;527;mannwhitney;47.261538461538464;6.211923275036763e-12;1.8089555568638704e-10;0.0;1.0913312529929468e-18;3.340776716251543e-17;1.0913312529929468e-18;3.340776716251543e-17;0.7461538461538462;BR16;32;32;1.0
D04;CD202;NIRRIG;1;703;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;BR16;32;32;1.0
D04;CD202;NIRRIG;2;704;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;BR16;32;32;1.0
D04;CD202;NIRRIG;3;705;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;BR16;32;32;1.0
D04;CD202;NIRRIG;4;706;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;BR16;32;32;1.0
D04;CD202;NIRRIG;5;707;mannwhitney;47.261538461538464;6.211923275036763e-12;1.59258182963755e-09;0.0;1.0913312529929468e-18;2.7979004998606674e-16;1.0913312529929468e-18;2.7979004998606674e-16;0.7461538461538462;BR16;32;32;1.0
D04;EMB48;IRRIG;1;710;mannwhitney;47.261538461538464;6.211923275036763e-12;1.0617212197583667e-09;0.0;1.0913312529929468e-18;1.8652669999071119e-16;1.0913312529929468e-18;1.8652669999071119e-16;0.7461538461538462;BR16;32;32;1.0
D04;EMB48;IRRIG;2;711;mannwhitney;47.261538461538464;6.211923275036763e-12;1.0617212197583667e-09;0.0;1.0913312529929468e-18;1.8652669999071119e-16;1.0913312529929468e-18;1.8652669999071119e-16;0.7461538461538462;BR16;32;32;1.0
D04;EMB48;IRRIG;3;712;mannwhitney;47.261538461538464;6.211923275036763e-12;1.0617212197583667e-09;0.0;1.0913312529929468e-18;1.8652669999071119e-16;1.0913312529929468e-18;1.8652669999071119e-16;0.7461538461538462;BR16;32;32;1.0
D04;EMB48;IRRIG;4;713;mannwhitney;47.261538461538464;6.211923275036763e-12;1.0617212197583667e-09;0.0;1.0913312529929468e-18;1.8652669999071119e-16;1.0913312529929468e-18;1.8652669999071119e-16;0.7461538461538462;BR16;32;32;1.0
D04;EMB48;IRRIG;5;714;mannwhitney;47.261538461538464;6.211923275036763e-12;1.0617212197583667e-09;0.0;1.0913312529929468e-18;1.8652669999071119e-16;1.0913312529929468e-18;1.8652669999071119e-16;0.7461538461538462;BR16;32;32;1.0
D04;EMB48;NIRRIG;1;1902;mannwhitney;45.97806490384615;1.1958446412847199e-11;7.0556237234047185e-09;1017.0;4.910990638468261e-17;4.998915559751059e-14;4.910990638468261e-17;4.998915559751059e-14;0.725452659739454;BR16;32;32;-0.986328125
D04;EMB48;NIRRIG;2;1903;mannwhitney;45.79615384615385;1.3122092862393549e-11;7.0556237234047185e-09;1016.0;7.311919395052742e-17;4.998915559751059e-14;7.311919395052742e-17;4.998915559751059e-14;0.7225186104218363;BR16;32;32;-0.984375
D04;EMB48;NIRRIG;3;1905;mannwhitney;45.79615384615385;1.3122092862393549e-11;7.0556237234047185e-09;1016.0;7.311919395052742e-17;4.998915559751059e-14;7.311919395052742e-17;4.998915559751059e-14;0.7225186104218363;BR16;32;32;-0.984375
D04;EMB48;NIRRIG;4;1904;mannwhitney;45.61460336538462;1.4396425455681949e-11;7.0556237234047185e-09;1015.0;1.0585913154031583e-16;5.427926969729696e-14;1.0585913154031583e-16;5.427926969729696e-14;0.7195903768610422;BR16;32;32;-0.982421875
D04;EMB48;NIRRIG;5;1901;mannwhitney;44.53287259615385;2.501220681924586e-11;7.0556237234047185e-09;1009.0;7.464705770471757e-16;3.062022307047515e-13;7.464705770471757e-16;3.062022307047515e-13;0.7021431063895782;BR16;32;32;-0.970703125
D05;BR16;IRRIG;1;1731;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;EMB48;32;32;-1.0
D05;BR16;IRRIG;2;1732;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;EMB48;32;32;-1.0
D05;BR16;IRRIG;3;1733;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;EMB48;32;32;-1.0
D05;BR16;IRRIG;4;1734;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;EMB48;32;32;-1.0
D05;BR16;IRRIG;5;1735;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;EMB48;32;32;-1.0
D05;BR16;NIRRIG;1;1939;mannwhitney;37.983353365384616;7.135081689483728e-10;1.71659979531463e-07;971.0;2.319596203623931e-12;8.192734763370472e-10;2.319596203623931e-12;8.192734763370472e-10;0.5965056994416874;CD202;32;32;0.896484375
D05;BR16;NIRRIG;2;1936;mannwhitney;37.81802884615385;7.76607345152988e-10;1.71659979531463e-07;970.0;2.733366808877436e-12;8.192734763370472e-10;2.733366808877436e-12;8.192734763370472e-10;0.5938391749379653;CD202;32;32;0.89453125
D05;BR16;NIRRIG;3;1937;mannwhitney;37.81802884615385;7.76607345152988e-10;1.71659979531463e-07;970.0;2.733366808877436e-12;8.192734763370472e-10;2.733366808877436e-12;8.192734763370472e-10;0.5938391749379653;CD202;32;32;0.89453125
D05;BR16;NIRRIG;4;1938;mannwhitney;37.81802884615385;7.76607345152988e-10;1.71659979531463e-07;970.0;2.733366808877436e-12;8.192734763370472e-10;2.733366808877436e-12;8.192734763370472e-10;0.5938391749379653;CD202;32;32;0.89453125
D05;BR16;NIRRIG;5;1940;mannwhitney;37.81802884615385;7.76607345152988e-10;1.71659979531463e-07;970.0;2.733366808877436e-12;8.192734763370472e-10;2.733366808877436e-12;8.192734763370472e-10;0.5938391749379653;CD202;32;32;0.89453125
