dia;condicao;banda_nm;genotipo_a;genotipo_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;IRRIG;400;BR16;CD202;-0.004975776686159117;0.5250478906219025;3.3683924527252396;False;3.2589085812131855;0.04286156007826551
D02;IRRIG;401;BR16;CD202;-0.006079627214699013;0.6432212284080263;3.3683924527252396;False;3.4460466691454337;0.035996501432157886
D02;IRRIG;402;BR16;CD202;-0.007038761409397631;0.745204923420249;3.3683924527252396;False;3.6247187619912946;0.030489246045287063
D02;IRRIG;403;BR16;CD202;-0.007853179270252753;0.8309400529920203;3.3683924527252396;False;3.795723865029796;0.02602363033238851
D02;IRRIG;404;BR16;CD202;-0.00852288079726704;0.9005707190212519;3.3683924527252396;False;3.959679752098913;0.02236884341344887
D02;IRRIG;405;BR16;CD202;-0.009047865990438941;0.9542732902452764;3.3683924527252396;False;4.116589267033842;0.01936170097032405
D02;IRRIG;406;BR16;CD202;-0.009945426615481257;1.0482052334902767;3.3683924527252396;False;4.43897265027429;0.014412152790003808
D02;IRRIG;407;BR16;CD202;-0.010174115622079372;1.067718000101462;3.3683924527252396;False;4.523110158231596;0.013347507174274452
D02;IRRIG;408;BR16;CD202;-0.009362271789952192;0.9766028967830382;3.3683924527252396;False;4.590733803106454;0.01255026168512458
D02;IRRIG;409;BR16;CD202;-0.008676169334063122;0.8992164373688755;3.3683924527252396;False;4.722204619182914;0.011136607351409738
D02;IRRIG;410;BR16;CD202;-0.009278568327513614;0.9564798735789617;3.3683924527252396;False;4.807750615266848;0.01030514162436489
D02;IRRIG;411;BR16;CD202;-0.00971631707860765;0.9960121241155095;3.3683924527252396;False;4.678450066041144;0.011588061786350278
D02;IRRIG;412;BR16;CD202;-0.010090914594300227;1.0300064289678563;3.3683924527252396;False;4.615113329684336;0.012274916772785324
D02;IRRIG;413;BR16;CD202;-0.010084193497239546;1.0241920475499413;3.3683924527252396;False;4.750044820898298;0.010858746778964517
D02;IRRIG;414;BR16;CD202;-0.00916799912326649;0.923059312739015;3.3683924527252396;False;4.886634023787594;0.00959465483496323
D02;IRRIG;415;BR16;CD202;-0.008267340470489382;0.8258003553492982;3.3683924527252396;False;4.942792826028053;0.00911950519074619
D02;IRRIG;416;BR16;CD202;-0.007819057618089875;0.7746977475248398;3.3683924527252396;False;5.016708558495482;0.00853051586601081
D02;IRRIG;417;BR16;CD202;-0.007546313265879068;0.7410579171825356;3.3683924527252396;False;5.155513830240689;0.007527251264034317
D02;IRRIG;418;BR16;CD202;-0.007782476158396667;0.7607588983250579;3.3683924527252396;False;5.314338724504995;0.006525881370085053
D02;IRRIG;419;BR16;CD202;-0.008721309751848372;0.8503837073160442;3.3683924527252396;False;5.422096371114129;0.005924942355886088
D02;IRRIG;420;BR16;CD202;-0.009990451494698016;0.9719590882538247;3.3683924527252396;False;5.477622553355609;0.005637664075646293
D02;IRRIG;421;BR16;CD202;-0.010915605301516251;1.0598871782692543;3.3683924527252396;False;5.556355104868861;0.005254515066113335
D02;IRRIG;422;BR16;CD202;-0.01184316850793854;1.1514012182780926;3.3683924527252396;False;5.714891845093478;0.004561666284588924
D02;IRRIG;423;BR16;CD202;-0.012497701024561714;1.2160074826692888;3.3683924527252396;False;5.912499314549931;0.0038268449528061537
D02;IRRIG;424;BR16;CD202;-0.012423252114553529;1.2064143533195464;3.3683924527252396;False;6.078463487233907;0.0033036604387036202
D02;IRRIG;425;BR16;CD202;-0.011841305969237936;1.1450782238400734;3.3683924527252396;False;6.166562640271688;0.0030562297488140153
D02;IRRIG;426;BR16;CD202;-0.011617416168426375;1.1165882089927546;3.3683924527252396;False;6.159757119344406;0.0030746501429704644
D02;IRRIG;427;BR16;CD202;-0.011485862259068558;1.0980348507709026;3.3683924527252396;False;6.0815856181862324;0.00329455125926654
D02;IRRIG;428;BR16;CD202;-0.011065153495805058;1.054841799040044;3.3683924527252396;False;5.957838616515292;0.003676030018530598
D02;IRRIG;429;BR16;CD202;-0.01056704400970987;1.0049574213383152;3.3683924527252396;False;5.877055518767693;0.003949135975729153
D02;IRRIG;430;BR16;CD202;-0.010161173424031889;0.9649879362591434;3.3683924527252396;False;5.873309186600281;0.0039622930166317745
D02;IRRIG;431;BR16;CD202;-0.01015916041797782;0.963236276302775;3.3683924527252396;False;5.924228880633405;0.003787232220572164
D02;IRRIG;432;BR16;CD202;-0.010532226815664236;0.9968598408282077;3.3683924527252396;False;6.003327132966666;0.0035308146821377722
D02;IRRIG;433;BR16;CD202;-0.010880268717070596;1.0274576016453396;3.3683924527252396;False;6.073142880862645;0.003319243249941067
D02;IRRIG;434;BR16;CD202;-0.011056171780529755;1.0419576960208794;3.3683924527252396;False;6.164794287006332;0.0030610052546413006
D02;IRRIG;435;BR16;CD202;-0.011109666801610185;1.044654371979114;3.3683924527252396;False;6.26658444711796;0.002798140900225505
D02;IRRIG;436;BR16;CD202;-0.011174281899387628;1.047014145892427;3.3683924527252396;False;6.314081315163498;0.002683489343644032
D02;IRRIG;437;BR16;CD202;-0.01083300730216763;1.0121247814767789;3.3683924527252396;False;6.3374119528199735;0.002628940956964748
D02;IRRIG;438;BR16;CD202;-0.0102316110963252;0.9541289361158755;3.3683924527252396;False;6.356077757704879;0.002586115628321966
D02;IRRIG;439;BR16;CD202;-0.00974810487705291;0.9083905013495517;3.3683924527252396;False;6.407376814225611;0.0024720522206949026
D02;IRRIG;440;BR16;CD202;-0.009605688141983038;0.8950471784541837;3.3683924527252396;False;6.5579229344235825;0.002166087198547819
D02;IRRIG;441;BR16;CD202;-0.009985762675738252;0.9282660405292201;3.3683924527252396;False;6.646160115198345;0.0020050229577720487
D02;IRRIG;442;BR16;CD202;-0.010584433303570062;0.980105996705326;3.3683924527252396;False;6.664509202618171;0.0019730958922360192
D02;IRRIG;443;BR16;CD202;-0.010956077481690807;1.0118839945017688;3.3683924527252396;False;6.666851833200495;0.001969057311819475
D02;IRRIG;444;BR16;CD202;-0.011376774765366138;1.0493394301485723;3.3683924527252396;False;6.697213863302362;0.0019174720909519802
D02;IRRIG;445;BR16;CD202;-0.011833552064250075;1.0892486500156509;3.3683924527252396;False;6.766948230183132;0.0018041550988308933
D02;IRRIG;446;BR16;CD202;-0.012134569662971328;1.113484570444985;3.3683924527252396;False;6.818407408355486;0.0017249398691931408
D02;IRRIG;447;BR16;CD202;-0.01210404593415726;1.1077379859544503;3.3683924527252396;False;6.794905051541836;0.001760668495308454
D02;IRRIG;448;BR16;CD202;-0.01209533023707321;1.104522758734442;3.3683924527252396;False;6.782658543510803;0.0017795845083842376
D02;IRRIG;449;BR16;CD202;-0.011996596249667979;1.0933030266836257;3.3683924527252396;False;6.810537165496884;0.0017368210976995296
D02;IRRIG;450;BR16;CD202;-0.011888105903065549;1.0811755019669422;3.3683924527252396;False;6.87598272957166;0.0016405093074615856
D02;IRRIG;451;BR16;CD202;-0.01198744714670874;1.0874881582465898;3.3683924527252396;False;6.880751738066709;0.00163370799632075
D02;IRRIG;452;BR16;CD202;-0.012050370906695473;1.0902429330523058;3.3683924527252396;False;6.865415451221415;0.0016556830494289436
D02;IRRIG;453;BR16;CD202;-0.011931025762506042;1.0773135538954286;3.3683924527252396;False;6.877122825016908;0.0016388807365114032
D02;IRRIG;454;BR16;CD202;-0.011713565558248096;1.0567097879756755;3.3683924527252396;False;6.904390200877858;0.0016004188184988667
