dia;celula_a;celula_b;tipo;regiao;bandas;bandas_sig;r_mediano;prop_sig
D02;BR16|NIRRIG;EMB48|NIRRIG;genotipo;SWIR1;450;56;0.10219190316099012;0.12444444444444444
D02;BR16|NIRRIG;EMB48|NIRRIG;genotipo;SWIR2;637;165;0.08198079602271646;0.25902668759811615
D02;BR16|NIRRIG;EMB48|NIRRIG;genotipo;VIS;300;90;0.07840935540390505;0.3
D02;BR16|NIRRIG;EMB48|NIRRIG;genotipo;red edge;80;44;0.2687509065655586;0.55
D02;CD202|IRRIG;CD202|NIRRIG;estresse;NIR;570;570;0.2593352903886922;1.0
D02;CD202|IRRIG;CD202|NIRRIG;estresse;SWIR1;450;396;0.25349111483063713;0.88
D02;CD202|IRRIG;CD202|NIRRIG;estresse;SWIR2;637;616;0.2975659388309689;0.967032967032967
D02;CD202|IRRIG;CD202|NIRRIG;estresse;VIS;300;300;0.29716009330610393;1.0
D02;CD202|IRRIG;CD202|NIRRIG;estresse;red edge;80;55;0.24326380760404084;0.6875
D02;CD202|IRRIG;EMB48|IRRIG;genotipo;NIR;570;545;0.2217539947861994;0.956140350877193
D02;CD202|IRRIG;EMB48|IRRIG;genotipo;SWIR1;450;216;0.1667213416145145;0.48
D02;CD202|IRRIG;EMB48|IRRIG;genotipo;SWIR2;637;561;0.27841003005734405;0.880690737833595
D02;CD202|IRRIG;EMB48|IRRIG;genotipo;VIS;300;294;0.2525170855709613;0.98
D02;CD202|IRRIG;EMB48|IRRIG;genotipo;red edge;80;42;0.18457854470857152;0.525
D02;CD202|IRRIG;EMB48|NIRRIG;cruzado;NIR;570;207;0.16883173834381213;0.3631578947368421
D02;CD202|IRRIG;EMB48|NIRRIG;cruzado;SWIR1;450;145;0.1096594608185049;0.32222222222222224
D02;CD202|IRRIG;EMB48|NIRRIG;cruzado;SWIR2;637;261;0.1689940765537581;0.4097331240188383
D02;CD202|IRRIG;EMB48|NIRRIG;cruzado;VIS;300;191;0.21956242895192873;0.6366666666666667
D02;CD202|IRRIG;EMB48|NIRRIG;cruzado;red edge;80;0;0.09350680892888055;0.0
D02;CD202|NIRRIG;EMB48|IRRIG;cruzado;NIR;570;31;0.036526097237843974;0.054385964912280704
D02;CD202|NIRRIG;EMB48|IRRIG;cruzado;SWIR1;450;197;0.1537342848188366;0.43777777777777777
D02;CD202|NIRRIG;EMB48|IRRIG;cruzado;SWIR2;637;72;0.033604009458816454;0.1130298273155416
D02;CD202|NIRRIG;EMB48|IRRIG;cruzado;VIS;300;0;0.02670463553611259;0.0
D02;CD202|NIRRIG;EMB48|IRRIG;cruzado;red edge;80;0;0.03579557529308709;0.0
D02;CD202|NIRRIG;EMB48|NIRRIG;genotipo;NIR;570;33;0.09967566090682754;0.05789473684210526
D02;CD202|NIRRIG;EMB48|NIRRIG;genotipo;SWIR1;450;237;0.18246814797927388;0.5266666666666666
D02;CD202|NIRRIG;EMB48|NIRRIG;genotipo;SWIR2;637;108;0.1157471436914789;0.1695447409733124
D02;CD202|NIRRIG;EMB48|NIRRIG;genotipo;VIS;300;93;0.06826321728228174;0.31
D02;CD202|NIRRIG;EMB48|NIRRIG;genotipo;red edge;80;51;0.20957862904025143;0.6375
D02;EMB48|IRRIG;EMB48|NIRRIG;estresse;NIR;570;0;0.05779240274076646;0.0
D02;EMB48|IRRIG;EMB48|NIRRIG;estresse;SWIR1;450;8;0.04155858174616914;0.017777777777777778
D02;EMB48|IRRIG;EMB48|NIRRIG;estresse;SWIR2;637;72;0.10811724782401815;0.1130298273155416
D02;EMB48|IRRIG;EMB48|NIRRIG;estresse;VIS;300;57;0.0702924449066064;0.19
D02;EMB48|IRRIG;EMB48|NIRRIG;estresse;red edge;80;27;0.15162388808953897;0.3375
D03;BR16|IRRIG;BR16|NIRRIG;estresse;NIR;570;570;0.32451408168200047;1.0
D03;BR16|IRRIG;BR16|NIRRIG;estresse;SWIR1;336;312;0.3435076522456793;0.9285714285714286
D03;BR16|IRRIG;BR16|NIRRIG;estresse;SWIR2;651;606;0.27565028048826246;0.9308755760368663
D03;BR16|IRRIG;BR16|NIRRIG;estresse;VIS;300;284;0.3382316604224352;0.9466666666666667
D03;BR16|IRRIG;BR16|NIRRIG;estresse;red edge;80;41;0.18750063248759907;0.5125
D03;BR16|IRRIG;CD202|IRRIG;genotipo;NIR;570;173;0.09886396985709767;0.30350877192982456
D03;BR16|IRRIG;CD202|IRRIG;genotipo;SWIR1;336;217;0.2215916565762534;0.6458333333333334
D03;BR16|IRRIG;CD202|IRRIG;genotipo;SWIR2;651;367;0.17451357569192116;0.5637480798771122
D03;BR16|IRRIG;CD202|IRRIG;genotipo;VIS;300;143;0.13490305246510373;0.4766666666666667
D03;BR16|IRRIG;CD202|IRRIG;genotipo;red edge;80;80;0.5111218540148966;1.0
D03;BR16|IRRIG;CD202|NIRRIG;cruzado;NIR;570;561;0.23344234590230944;0.9842105263157894
D03;BR16|IRRIG;CD202|NIRRIG;cruzado;SWIR1;336;210;0.1962668958246816;0.625
D03;BR16|IRRIG;CD202|NIRRIG;cruzado;SWIR2;651;485;0.2053578355816561;0.7450076804915514
D03;BR16|IRRIG;CD202|NIRRIG;cruzado;VIS;300;233;0.26404309847712537;0.7766666666666666
D03;BR16|IRRIG;CD202|NIRRIG;cruzado;red edge;80;43;0.23709495562609384;0.5375
D03;BR16|IRRIG;EMB48|IRRIG;genotipo;NIR;570;28;0.10681854214445036;0.04912280701754386
D03;BR16|IRRIG;EMB48|IRRIG;genotipo;SWIR1;336;25;0.019237077878597825;0.0744047619047619
D03;BR16|IRRIG;EMB48|IRRIG;genotipo;SWIR2;651;262;0.13522772888499568;0.402457757296467
D03;BR16|IRRIG;EMB48|IRRIG;genotipo;VIS;300;50;0.0866886041111497;0.16666666666666666
D03;BR16|IRRIG;EMB48|IRRIG;genotipo;red edge;80;46;0.3095789663669709;0.575
D03;BR16|IRRIG;EMB48|NIRRIG;cruzado;NIR;570;570;0.38587792504157825;1.0
D03;BR16|IRRIG;EMB48|NIRRIG;cruzado;SWIR1;336;295;0.32524460362675733;0.8779761904761905
D03;BR16|IRRIG;EMB48|NIRRIG;cruzado;SWIR2;651;587;0.3602284878701145;0.901689708141321
D03;BR16|IRRIG;EMB48|NIRRIG;cruzado;VIS;300;261;0.4388813505889385;0.87
D03;BR16|IRRIG;EMB48|NIRRIG;cruzado;red edge;80;71;0.3786538746989825;0.8875
D03;BR16|NIRRIG;CD202|IRRIG;cruzado;NIR;570;570;0.4206183019700166;1.0
D03;BR16|NIRRIG;CD202|IRRIG;cruzado;SWIR1;336;321;0.551462899186471;0.9553571428571429
D03;BR16|NIRRIG;CD202|IRRIG;cruzado;SWIR2;651;651;0.46428728044548334;1.0
D03;BR16|NIRRIG;CD202|IRRIG;cruzado;VIS;300;300;0.5122582214845184;1.0
D03;BR16|NIRRIG;CD202|IRRIG;cruzado;red edge;80;80;0.6047098320487501;1.0
D03;BR16|NIRRIG;CD202|NIRRIG;genotipo;NIR;570;54;0.06939958475190355;0.09473684210526316
