alpha;dia;genotipo_a;genotipo_b;prop_interacao;prop_sig_IRRIG;delta_IRRIG;prop_sig_NIRRIG;delta_NIRRIG;veredito
0.001;D05;CD202;EMB48;0.005363237445148708;0.7450024378352024;-0.119140625;0.7571916138469039;-0.001953125;offset constante
0.05;D06;CD202;EMB48;0.19795221843003413;0.6143344709897611;0.07421875;0.07849829351535836;0.0546875;offset constante
0.01;D06;CD202;EMB48;0.1462701121404193;0.09507557289127255;0.07421875;0.04583130180399805;0.0546875;agrupavel
0.001;D06;CD202;EMB48;0.016089712335446125;0.06777181862506095;0.07421875;0.039492930277913216;0.0546875;agrupavel
0.05;D09;CD202;EMB48;0.8732325694783033;0.33837152608483667;0.04166666666666674;0.9171136031204291;0.236328125;nao agrupavel
0.01;D09;CD202;EMB48;0.8449536811311555;0.03266699171136031;0.04166666666666674;0.8922476840565577;0.236328125;nao agrupavel
0.001;D09;CD202;EMB48;0.7893710385177962;0.0;0.04166666666666674;0.8717698683568991;0.236328125;nao agrupavel
0.05;D10;CD202;EMB48;0.9570941004388104;0.9366162847391516;-0.13671875;0.6118966357874208;-0.1171875;nao agrupavel
0.01;D10;CD202;EMB48;0.9395416869819601;0.9283276450511946;-0.13671875;0.30716723549488056;-0.1171875;nao agrupavel
0.001;D10;CD202;EMB48;0.9171136031204291;0.8815212091662603;-0.13671875;0.013651877133105802;-0.1171875;nao agrupavel
