dia;genotipo_a;condicao_a;genotipo_b;condicao_b;alpha;n_bandas;prop_sig;delta_mediano;delta_abs_max
D05;BR16;NIRRIG;CD202;IRRIG;0.01;2051;0.9307654802535349;-0.3046875;1.0
D05;BR16;NIRRIG;CD202;IRRIG;0.001;2051;0.8776206728425159;-0.3046875;1.0
D06;BR16;NIRRIG;CD202;IRRIG;0.05;2051;0.9639200390053633;0.1953125;1.0
D06;BR16;NIRRIG;CD202;IRRIG;0.01;2051;0.9566065333983422;0.1953125;1.0
D06;BR16;NIRRIG;CD202;IRRIG;0.001;2051;0.9483178937103852;0.1953125;1.0
D09;BR16;NIRRIG;CD202;IRRIG;0.05;2051;0.9010238907849829;-0.00694444444444442;1.0
D09;BR16;NIRRIG;CD202;IRRIG;0.01;2051;0.8878595806923452;-0.00694444444444442;1.0
D09;BR16;NIRRIG;CD202;IRRIG;0.001;2051;0.8703071672354948;-0.00694444444444442;1.0
D10;BR16;NIRRIG;CD202;IRRIG;0.05;2051;0.6050706972208678;-0.08984375;0.916015625
D10;BR16;NIRRIG;CD202;IRRIG;0.01;2051;0.46270112140419306;-0.08984375;0.916015625
D10;BR16;NIRRIG;CD202;IRRIG;0.001;2051;0.32618235007313506;-0.08984375;0.916015625
D02;BR16;IRRIG;EMB48;NIRRIG;0.05;2051;0.19210141394441735;0.1015625;1.0
D02;BR16;IRRIG;EMB48;NIRRIG;0.01;2051;0.1257922964407606;0.1015625;1.0
D02;BR16;IRRIG;EMB48;NIRRIG;0.001;2051;0.09995124329595319;0.1015625;1.0
D03;BR16;IRRIG;EMB48;NIRRIG;0.05;2051;0.893710385177962;-0.162109375;0.99609375
D03;BR16;IRRIG;EMB48;NIRRIG;0.01;2051;0.8605558264261336;-0.162109375;0.99609375
D03;BR16;IRRIG;EMB48;NIRRIG;0.001;2051;0.8166747927840078;-0.162109375;0.99609375
D04;BR16;IRRIG;EMB48;NIRRIG;0.05;2051;0.3871282301316431;0.140625;0.96875
D04;BR16;IRRIG;EMB48;NIRRIG;0.01;2051;0.2793759141882009;0.140625;0.96875
D04;BR16;IRRIG;EMB48;NIRRIG;0.001;2051;0.21550463188688446;0.140625;0.96875
D05;BR16;IRRIG;EMB48;NIRRIG;0.05;2051;0.9824475865431497;-0.716796875;1.0
D05;BR16;IRRIG;EMB48;NIRRIG;0.01;2051;0.9746465138956607;-0.716796875;1.0
D05;BR16;IRRIG;EMB48;NIRRIG;0.001;2051;0.9644076060458313;-0.716796875;1.0
D06;BR16;IRRIG;EMB48;NIRRIG;0.05;2051;0.9834227206240859;-0.404296875;1.0
D06;BR16;IRRIG;EMB48;NIRRIG;0.01;2051;0.9600195026816187;-0.404296875;1.0
D06;BR16;IRRIG;EMB48;NIRRIG;0.001;2051;0.9161384690394929;-0.404296875;1.0
D09;BR16;IRRIG;EMB48;NIRRIG;0.05;2051;0.514870794734276;-0.01171875;0.9453125
D09;BR16;IRRIG;EMB48;NIRRIG;0.01;2051;0.33983422720624085;-0.01171875;0.9453125
D09;BR16;IRRIG;EMB48;NIRRIG;0.001;2051;0.16723549488054607;-0.01171875;0.9453125
D10;BR16;IRRIG;EMB48;NIRRIG;0.05;2051;0.29887859580692344;0.1640625;1.0
D10;BR16;IRRIG;EMB48;NIRRIG;0.01;2051;0.14675767918088736;0.1640625;1.0
D10;BR16;IRRIG;EMB48;NIRRIG;0.001;2051;0.06825938566552901;0.1640625;1.0
D02;BR16;NIRRIG;EMB48;IRRIG;0.05;2051;0.18576304241833252;0.09375;1.0
D02;BR16;NIRRIG;EMB48;IRRIG;0.01;2051;0.08629936616284739;0.09375;1.0
D02;BR16;NIRRIG;EMB48;IRRIG;0.001;2051;0.07606045831301804;0.09375;1.0
D03;BR16;NIRRIG;EMB48;IRRIG;0.05;2051;0.8078985860555826;0.00390625;1.0
D03;BR16;NIRRIG;EMB48;IRRIG;0.01;2051;0.711360312042906;0.00390625;1.0
D03;BR16;NIRRIG;EMB48;IRRIG;0.001;2051;0.6114090687469527;0.00390625;1.0
D04;BR16;NIRRIG;EMB48;IRRIG;0.05;2051;0.5446123842028279;-0.009765625;1.0
D04;BR16;NIRRIG;EMB48;IRRIG;0.01;2051;0.2476840565577767;-0.009765625;1.0
D04;BR16;NIRRIG;EMB48;IRRIG;0.001;2051;0.18576304241833252;-0.009765625;1.0
D05;BR16;NIRRIG;EMB48;IRRIG;0.05;2051;0.6231106777181863;-0.12890625;1.0
D05;BR16;NIRRIG;EMB48;IRRIG;0.01;2051;0.49829351535836175;-0.12890625;1.0
D05;BR16;NIRRIG;EMB48;IRRIG;0.001;2051;0.4305216967333008;-0.12890625;1.0
D06;BR16;NIRRIG;EMB48;IRRIG;0.05;2051;0.9717211116528522;0.314453125;1.0
D06;BR16;NIRRIG;EMB48;IRRIG;0.01;2051;0.961482203803023;0.314453125;1.0
D06;BR16;NIRRIG;EMB48;IRRIG;0.001;2051;0.9502681618722575;0.314453125;1.0
D09;BR16;NIRRIG;EMB48;IRRIG;0.05;2051;0.8717698683568991;0.177734375;1.0
D09;BR16;NIRRIG;EMB48;IRRIG;0.01;2051;0.7815699658703071;0.177734375;1.0
D09;BR16;NIRRIG;EMB48;IRRIG;0.001;2051;0.5329107752315944;0.177734375;1.0
D10;BR16;NIRRIG;EMB48;IRRIG;0.05;2051;0.7191613846903949;-0.037109375;0.919921875
D10;BR16;NIRRIG;EMB48;IRRIG;0.01;2051;0.5070697220867869;-0.037109375;0.919921875
D10;BR16;NIRRIG;EMB48;IRRIG;0.001;2051;0.41394441735738663;-0.037109375;0.919921875
D02;CD202;IRRIG;EMB48;NIRRIG;0.05;2051;0.47976596782057535;0.044921875;0.619140625
D02;CD202;IRRIG;EMB48;NIRRIG;0.01;2051;0.18235007313505608;0.044921875;0.619140625
D02;CD202;IRRIG;EMB48;NIRRIG;0.001;2051;0.04875670404680644;0.044921875;0.619140625
D03;CD202;IRRIG;EMB48;NIRRIG;0.05;2051;0.9258898098488543;0.044921875;1.0
D03;CD202;IRRIG;EMB48;NIRRIG;0.01;2051;0.9190638712823013;0.044921875;1.0
D03;CD202;IRRIG;EMB48;NIRRIG;0.001;2051;0.8990736226231106;0.044921875;1.0
D04;CD202;IRRIG;EMB48;NIRRIG;0.05;2051;0.7308629936616284;-0.005859375;0.837890625
D04;CD202;IRRIG;EMB48;NIRRIG;0.01;2051;0.5782545099951243;-0.005859375;0.837890625
D04;CD202;IRRIG;EMB48;NIRRIG;0.001;2051;0.3695758166747928;-0.005859375;0.837890625
D05;CD202;IRRIG;EMB48;NIRRIG;0.05;2051;0.9527059970745978;-0.244140625;1.0
D05;CD202;IRRIG;EMB48;NIRRIG;0.01;2051;0.9410043881033642;-0.244140625;1.0
D05;CD202;IRRIG;EMB48;NIRRIG;0.001;2051;0.9307654802535349;-0.244140625;1.0
D06;CD202;IRRIG;EMB48;NIRRIG;0.05;2051;0.923939541686982;-0.06640625;1.0
D06;CD202;IRRIG;EMB48;NIRRIG;0.01;2051;0.9044368600682594;-0.06640625;1.0
D06;CD202;IRRIG;EMB48;NIRRIG;0.001;2051;0.8815212091662603;-0.06640625;1.0
D09;CD202;IRRIG;EMB48;NIRRIG;0.05;2051;0.8517796196977084;0.02083333333333326;0.9722222222222222
D09;CD202;IRRIG;EMB48;NIRRIG;0.01;2051;0.8283764017552413;0.02083333333333326;0.9722222222222222
D09;CD202;IRRIG;EMB48;NIRRIG;0.001;2051;0.7835202340321794;0.02083333333333326;0.9722222222222222
D10;CD202;IRRIG;EMB48;NIRRIG;0.05;2051;0.7723061921014139;-0.01953125;1.0
D10;CD202;IRRIG;EMB48;NIRRIG;0.01;2051;0.6611409068746953;-0.01953125;1.0
D10;CD202;IRRIG;EMB48;NIRRIG;0.001;2051;0.2623110677718186;-0.01953125;1.0
D02;CD202;NIRRIG;EMB48;IRRIG;0.05;2051;0.15212091662603608;-0.0703125;0.732421875
D02;CD202;NIRRIG;EMB48;IRRIG;0.01;2051;0.113603120429059;-0.0703125;0.732421875
D02;CD202;NIRRIG;EMB48;IRRIG;0.001;2051;0.07313505607020965;-0.0703125;0.732421875
D03;CD202;NIRRIG;EMB48;IRRIG;0.05;2051;0.4802535348610434;-0.181640625;1.0
D03;CD202;NIRRIG;EMB48;IRRIG;0.01;2051;0.3213066796684544;-0.181640625;1.0
D03;CD202;NIRRIG;EMB48;IRRIG;0.001;2051;0.23647001462701123;-0.181640625;1.0
D04;CD202;NIRRIG;EMB48;IRRIG;0.05;2051;0.19941491955143834;0.091796875;0.990234375
D04;CD202;NIRRIG;EMB48;IRRIG;0.01;2051;0.16723549488054607;0.091796875;0.990234375
D04;CD202;NIRRIG;EMB48;IRRIG;0.001;2051;0.13018039980497317;0.091796875;0.990234375
D05;CD202;NIRRIG;EMB48;IRRIG;0.05;2051;0.4173573866406631;-0.01953125;0.912109375
D05;CD202;NIRRIG;EMB48;IRRIG;0.01;2051;0.2983910287664554;-0.01953125;0.912109375
D05;CD202;NIRRIG;EMB48;IRRIG;0.001;2051;0.21160409556313994;-0.01953125;0.912109375
D06;CD202;NIRRIG;EMB48;IRRIG;0.05;2051;0.9829351535836177;0.314453125;1.0
D06;CD202;NIRRIG;EMB48;IRRIG;0.01;2051;0.9580692345197465;0.314453125;1.0
D06;CD202;NIRRIG;EMB48;IRRIG;0.001;2051;0.878595806923452;0.314453125;1.0
D09;CD202;NIRRIG;EMB48;IRRIG;0.05;2051;0.9882983910287665;0.345703125;1.0
D09;CD202;NIRRIG;EMB48;IRRIG;0.01;2051;0.9453924914675768;0.345703125;1.0
D09;CD202;NIRRIG;EMB48;IRRIG;0.001;2051;0.9161384690394929;0.345703125;1.0
D10;CD202;NIRRIG;EMB48;IRRIG;0.05;2051;0.1955143832276938;0.09765625;1.0
D10;CD202;NIRRIG;EMB48;IRRIG;0.01;2051;0.16333495855680155;0.09765625;1.0
D10;CD202;NIRRIG;EMB48;IRRIG;0.001;2051;0.10775231594344223;0.09765625;1.0
