dia;banda_nm;n;via;estat_genotipo;p_genotipo;estat_condicao;p_condicao;estat_interacao;p_interacao;estat_omnibus;p_omnibus;q_genotipo;q_condicao;q_interacao;q_omnibus
D02;400;384;kruskal;17.05451374797078;0.00019799735736793626;85.16072781385284;2.7507130485750024e-20;;;108.42417816558442;8.819765498576917e-22;0.00040690639274713154;1.4973206239463948e-17;;1.2649887438868012e-20
D02;401;384;kruskal;16.89416218547078;0.00021452568294908308;84.50014289096323;3.8418706571482774e-20;;;108.21418932629871;9.768226912417067e-22;0.0004347060967325712;1.4973206239463948e-17;;1.391293985928292e-20
D02;402;384;kruskal;16.99003525771104;0.00020448465359234954;84.33117644074676;4.184641371272697e-20;;;108.5780362215909;8.183782609515754e-22;0.0004186580586766468;1.4973206239463948e-17;;1.198924152294058e-20
D02;403;384;kruskal;17.093018212256492;0.0001942219256367185;83.38808931953466;6.742703034696623e-20;;;108.18846134334416;9.891233107972223e-22;0.00040108122650709386;1.4973206239463948e-17;;1.3990978692724848e-20
D02;404;384;kruskal;17.21964666193182;0.00018230611541326727;82.51711394074675;1.0475915950777054e-19;;;107.71237571022728;1.2468403038361604e-21;0.0003858718707044491;1.4973206239463948e-17;;1.7396390905904524e-20
D02;405;384;kruskal;17.322878196022728;0.00017313496934586237;81.3518677286255;1.8890310561977007e-19;;;106.89777039366884;1.8528744284121984e-21;0.00037144332858615454;1.4973206239463948e-17;;2.5505003038076635e-20
D02;406;384;kruskal;17.54524528206169;0.00015491675636344036;80.16197324810602;3.4494211912434335e-19;;;106.1498731737013;2.665392067022042e-21;0.0003380518331454811;1.5721695251645072e-17;;3.2808931763636276e-20
D02;407;384;kruskal;17.65624619521104;0.00014655304727541276;78.67062026515154;7.337879055138872e-19;;;104.80284851866882;5.129799856906366e-21;0.000325217771733963;2.4475427875100143e-17;;5.2085245081757214e-20
D02;408;384;kruskal;17.785730773133118;0.00013736548830213622;77.90584500135279;1.080711145656996e-18;;;104.05518212256493;7.376978270784281e-21;0.000312000682732759;3.212374724264491e-17;;7.037294155059796e-20
D02;409;384;kruskal;18.055850497159092;0.00012001122851762076;77.06406334550869;1.6550151203156064e-18;;;103.28602374188311;1.0719097254214651e-20;0.0002833874735943084;4.408358456840661e-17;;9.615840258971026e-20
D02;410;384;kruskal;18.447330306412336;9.867636006754033e-05;76.27503043831169;2.4678469364696642e-18;;;103.05716314935064;1.1979462409543851e-20;0.00024576736630935013;6.098257911685881e-17;;1.0590464397402775e-19
D02;411;384;kruskal;18.628932883522726;9.011116873031121e-05;74.94776870265154;4.833331020118877e-18;;;102.13753043831169;1.8724338331301334e-20;0.00022801219176819414;1.0545916938578529e-16;;1.5674946088775115e-19
D02;412;384;kruskal;18.882468800730518;7.938235843421103e-05;73.9955568520022;7.82930559151746e-18;;;101.5646585836039;2.4729260968936525e-20;0.00020714149764448702;1.5898916602180505e-16;;2.0369363151521614e-19
D02;413;384;kruskal;19.418251572646103;6.07267790713855e-05;72.67268753382038;1.5303743320377576e-17;;;101.03798447646103;3.1934215317553813e-20;0.00016584637000720596;2.9062942176013343e-16;;2.509466498708922e-19
D02;414;384;kruskal;19.80918856534091;4.994469410328e-05;72.1250135281385;2.0198713109952507e-17;;;100.9123731737013;3.3942037035293964e-20;0.0001401321034279443;3.698889338260053e-16;;2.6469626600527727e-19
