dia;banda_nm;n;celulas;H;p_valor;q_fdr;epsilon2;significativa
D02;400;192;6;28.00635524611399;3.629479415288827e-05;9.034056165967698e-05;0.12369008196835479;True
D02;401;192;6;28.234354760362695;3.2753334528383574e-05;8.232486411484646e-05;0.12491588580840159;True
D02;402;192;6;27.964074643782386;3.699209006416319e-05;9.174217257750749e-05;0.12346276690205583;True
D02;403;192;6;27.806711463730572;3.9706086517733227e-05;9.741289886108953e-05;0.12261672829962673;True
D02;404;192;6;27.66114799222798;4.2391972049158547e-05;0.00010216913592576284;0.12183412899047302;True
D02;405;192;6;27.420255829015545;4.723807793246168e-05;0.00011187678734350914;0.12053900983341691;True
D02;406;192;6;26.938107189119172;5.8647495514050225e-05;0.00013484979069430157;0.11794681284472673;True
D02;407;192;6;26.218689281088086;8.09297201682024e-05;0.00017676981476569023;0.11407897462950584;True
D02;408;192;6;26.34935637953368;7.633721434681453e-05;0.00016817145717005008;0.1147814859114714;True
D02;409;192;6;26.264957091968913;7.927308536842225e-05;0.00017370630137888252;0.11432772630090814;True
D02;410;192;6;25.90724174222798;9.300919582230019e-05;0.0001997506394047515;0.11240452549584937;True
D02;411;192;6;25.163192195595855;0.0001295790940799361;0.00026576672195794895;0.10840425911610675;True
D02;412;192;6;24.75423008419689;0.00015541169081331716;0.0002985615535975275;0.10620553808708005;True
D02;413;192;6;24.775663860103627;0.00015393936041735047;0.00029722852033349794;0.10632077344141735;True
D02;414;192;6;24.96286026554404;0.00014165337299413798;0.00028344494440095316;0.1073272057287314;True
D02;415;192;6;25.0841564119171;0.000134215937108155;0.0002733633436036007;0.1079793355479414;True
D02;416;192;6;24.99346259715026;0.00013973934436026987;0.0002809856816499152;0.10749173439328097;True
D02;417;192;6;24.874473769430054;0.0001473284159089304;0.00029166924242361513;0.10685200951306481;True
D02;418;192;6;25.02588649611399;0.0001377393078586104;0.00027838917009962935;0.10766605643072039;True
D02;419;192;6;24.85670336787565;0.0001484962773140556;0.000292570475284465;0.10675646971976156;True
D02;420;192;6;24.711666126943005;0.00015837692804810717;0.00030076951798765537;0.10597669960722046;True
D02;421;192;6;24.898558937823836;0.0001457600467230092;0.00028912365167204246;0.10698149966571954;True
D02;422;192;6;24.96622004533679;0.00014144197347082336;0.00028344494440095316;0.10734526906095049;True
D02;423;192;6;24.930112532383422;0.00014373032828482557;0.00028623050713416653;0.1071511426472227;True
D02;424;192;6;25.020968264248705;0.00013804085128782205;0.00027838917009962935;0.10763961432391776;True
D02;425;192;6;25.027606865284977;0.00013763398368079032;0.00027838917009962935;0.10767530572733858;True
D02;426;192;6;25.0223647992228;0.00013795516148752357;0.00027838917009962935;0.10764712257646666;True
D02;427;192;6;24.929910136010363;0.00014374325809273113;0.00028623050713416653;0.10715005449467938;True
D02;428;192;6;24.751862046632127;0.00015557520850009634;0.0002985615535975275;0.10619280670232326;True
D02;429;192;6;24.285459844559586;0.0001913340013093848;0.0003381918793925983;0.10368526798150315;True
D02;430;192;6;24.144794365284977;0.00020363459916349576;0.00035636054853611763;0.10292900196389772;True
D02;431;192;6;24.062803594559586;0.000211161766632233;0.00036580093132359106;0.10248819136859992;True
D02;432;192;6;23.590572376943005;0.00026018470037228843;0.00042423032126145136;0.09994931385453229;True
D02;433;192;6;23.67630748056995;0.0002505169236565298;0.000416526742019572;0.10041025527188145;True
D02;434;192;6;23.779428432642487;0.00023935808655109779;0.0004053868171067726;0.10096466899270154;True
D02;435;192;6;23.820110103626945;0.00023509230981340643;0.0003998128751470121;0.1011833876539083;True
D02;436;192;6;23.766353626943005;0.0002407452573563767;0.00040650337089057634;0.10089437433840324;True
D02;437;192;6;23.624271373056995;0.00025634147414436276;0.0004209418442514716;0.1001304912529946;True
D02;438;192;6;23.479841321243523;0.00027321851908485256;0.00043778998643986925;0.09935398559808345;True
D02;439;192;6;23.282606055699482;0.00029805201176432545;0.0004709589184350011;0.09829358094462087;True
D02;440;192;6;23.534812176165804;0.00026666936394994205;0.0004309998939805604;0.09964952782884841;True
D02;441;192;6;23.64730408031088;0.0002537470281717969;0.0004191946531613271;0.1002543230124241;True
D02;442;192;6;23.698490123056995;0.00024807390643884013;0.00041365819683419604;0.100529516790629;True
D02;443;192;6;23.875627428756477;0.0002293919363749943;0.0003914166901040876;0.1014818678965402;True
D02;444;192;6;23.901574643782386;0.0002267748134028599;0.00038824302361374434;0.10162136905259347;True
D02;445;192;6;23.8384269753886;0.0002331962701871193;0.00039691746900728775;0.1012818654590785;True
D02;446;192;6;23.847372895077722;0.00023227575118936754;0.0003959163445906502;0.10132996180149313;True
D02;447;192;6;23.710127914507773;0.00024680164755977744;0.00041287942834021497;0.10059208556186974;True
D02;448;192;6;23.57152687823834;0.0002623818884081905;0.0004262105861581248;0.09984691870020614;True
D02;449;192;6;23.5184585492228;0.0002686013303973165;0.0004327583100117015;0.09956160510334838;True
D02;450;192;6;23.411168231865286;0.00028162383602008313;0.000449152789795638;0.09898477544013595;True
D02;451;192;6;23.256092130829018;0.0003015560320240492;0.0004753969421070906;0.09815103296144632;True
D02;452;192;6;23.151250809585495;0.00031581474288286913;0.0004933252381209174;0.09758736994400803;True
D02;453;192;6;23.23046875;0.0003049810225730206;0.00048042709469836044;0.09801327284946236;True
D02;454;192;6;23.180618523316063;0.0003117548197968272;0.0004880985766437348;0.09774526087804335;True
D02;455;192;6;23.180841159326427;0.00031172423938342653;0.0004880985766437348;0.097746457845841;True
D02;456;192;6;23.16509472150259;0.00031389443263951617;0.0004906992998046095;0.09766179957797091;True
