dia;banda_nm;n;F_genotipo;p_genotipo;q_genotipo;sig_genotipo_0.05;sig_genotipo_0.01;sig_genotipo_0.001;F_condicao;p_condicao;q_condicao;sig_condicao_0.05;sig_condicao_0.01;sig_condicao_0.001;F_interacao;p_interacao;q_interacao;sig_interacao_0.05;sig_interacao_0.01;sig_interacao_0.001
D02;400;192;2.3136914067593093;0.10173544184977132;0.18128530949946217;False;False;False;22.749690743668037;3.7173622372739143e-06;6.629834737955478e-05;True;True;True;2.1963269056270636;0.1140870594411084;0.11670451816145304;False;False;False
D02;401;192;2.1878216969195914;0.11503899844621003;0.19775011071709608;False;False;False;22.887703876870397;3.4871112585372912e-06;6.385772492196414e-05;True;True;True;2.5287772130997554;0.0824958067238155;0.08628194777692279;False;False;False
D02;402;192;2.0386614169415136;0.1331022234236494;0.21055344693886952;False;False;False;22.77026034728277;3.6820917323742682e-06;6.629834737955478e-05;True;True;True;2.68782858889365;0.0706709893969101;0.07429328511176966;False;False;False
D02;403;192;1.9873873472755246;0.13995279207522252;0.21727331690356666;False;False;False;22.196212750156427;4.806677811552248e-06;7.82420332658227e-05;True;True;True;2.909290595500314;0.056999506703298564;0.06107940869825776;False;False;False
D02;404;192;1.9261994615777296;0.1485961380727419;0.22659530051092464;False;False;False;22.046097727380317;5.15447947461307e-06;8.200782385586893e-05;True;True;True;3.09292322883812;0.047710452164588;0.05235641379859283;False;False;False
D02;405;192;1.8985081070030874;0.1526832562820934;0.23043165780389616;False;False;False;21.39428775617564;6.986626742289935e-06;0.00010390266083479964;True;True;True;3.115612271684601;0.04667432994462512;0.05133588229798069;False;False;False
D02;406;192;1.9355051277021433;0.14724763337954325;0.22504090615606798;False;False;False;20.496705267845837;1.0643619620203846e-05;0.00011003304172138425;True;True;True;3.2429984898096076;0.04126517728329068;0.04587256293118114;True;False;False
D02;407;192;1.8869489892237505;0.15442277219067127;0.23087685564116237;False;False;False;19.543911421891384;1.668698618652115e-05;0.00013912605149819055;True;True;True;3.2286235059996917;0.0418424185116968;0.04646388758391453;True;False;False
D02;408;192;2.056336837876631;0.13082005729268317;0.20880306420801026;False;False;False;19.291737404731805;1.8805309044739968e-05;0.0001542787554030467;True;True;True;3.1982742325493647;0.04308807407397369;0.04766647245184468;True;False;False
D02;409;192;2.1378086302768335;0.12080136467265916;0.20215527057949753;False;False;False;19.233406751425736;1.9332997558250906e-05;0.00015672718573902215;True;True;True;3.164080382668873;0.044536503185820295;0.049162738446780097;True;False;False
D02;410;192;2.110898217129733;0.12402175851231582;0.2027694648326359;False;False;False;18.807186747225032;2.3673919844100288e-05;0.00018532522748186905;True;True;True;3.332853014387895;0.03783492788032341;0.04231157965242275;True;False;False
D02;411;192;1.9381883442878713;0.1468611048471321;0.22461754365508424;False;False;False;18.108985173301498;3.3033871416164136e-05;0.00024025698678919376;True;True;True;3.414218469359881;0.03497786438666388;0.03928784219991655;True;False;False
D02;412;192;1.8367788464172374;0.16220801653186;0.23688120140824667;False;False;False;17.808454990345034;3.814747009647597e-05;0.00027166826794400073;True;True;True;3.384222470844912;0.03600485166744832;0.04033093979788995;True;False;False
D02;413;192;1.9439970134467528;0.14602785125784762;0.2237452131841296;False;False;False;17.48755578479077;4.4500227974864725e-05;0.0003057325706395747;True;True;True;3.405463612011759;0.03527451079280366;0.03959935502793667;True;False;False
D02;414;192;2.092089985778131;0.12632395019743334;0.203949396502559;False;False;False;17.48427384540108;4.4570472267787826e-05;0.0003057325706395747;True;True;True;3.386027671288023;0.0359421929907638;0.040297351456416206;True;False;False
D02;415;192;2.231544164917165;0.11022937875759382;0.1920819505792905;False;False;False;17.359284519680834;4.733117969654238e-05;0.00032251245700202135;True;True;True;3.267263380959019;0.04030899607635566;0.04490698041966619;True;False;False
D02;416;192;2.3990778038321947;0.09360645517027358;0.17072758897680146;False;False;False;17.098771026905276;5.365702257503716e-05;0.00035847085765928734;True;True;True;3.200025782762244;0.04301517470908643;0.047637215620051986;True;False;False
D02;417;192;2.4353279694148178;0.09035691100710241;0.16576209702644637;False;False;False;16.95046717016338;5.763528672081833e-05;0.00037948007547220663;True;True;True;3.2047455186712166;0.04281935963935366;0.047471625200169926;True;False;False
