fold;bloco_teste;n_teste;accuracy;balanced_accuracy;precision;recall;f1;auc_roc
1;B4;16;0.5;0.5;0.5;0.5;0.5;0.3125
2;B3;16;0.625;0.625;0.6666666666666666;0.5;0.5714285714285714;0.7734375
3;B2;16;0.5625;0.5625;1.0;0.125;0.2222222222222222;0.46875
4;B1;16;0.375;0.375;0.3333333333333333;0.25;0.2857142857142857;0.5
