seed;fold;dia;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;D02;0;0;0.2770292822057805
42;1;D02;0;1;0.5250561940574494
42;1;D02;0;1;0.5289833771374564
42;1;D02;1;1;0.8412763055168229
42;1;D02;1;1;0.8469932022358448
42;1;D02;1;0;0.2862070477763818
42;1;D02;1;0;0.31299322668064467
42;1;D02;0;0;0.35634750285759975
42;1;D02;1;0;0.3878106782146892
42;1;D02;0;0;0.18311940448918018
42;1;D02;1;1;0.8570535108916033
42;1;D02;1;1;0.7968903902608988
42;1;D02;1;1;0.8351479457320597
42;1;D02;0;0;0.37414110338906903
42;1;D02;1;1;0.7375656318033591
42;1;D02;1;1;0.7605042128477906
42;1;D03;0;0;0.4460155615404419
42;1;D03;0;0;0.4465290677703512
42;1;D03;1;0;0.4545725567850669
42;1;D03;1;0;0.4635243295858676
42;1;D03;0;0;0.35452816626036693
42;1;D03;1;1;0.7273629521590103
42;1;D03;1;1;0.7481938762490608
42;1;D03;0;0;0.09655351027379844
42;1;D03;0;0;0.07617703838498457
42;1;D03;0;0;0.08041986721332312
42;1;D04;0;0;-0.09326784031834323
42;1;D04;0;0;0.40442196602008296
42;1;D04;0;0;0.37590157827836035
42;1;D04;1;0;0.36457312286187565
42;1;D04;1;0;0.3680628593943476
42;1;D04;1;0;0.3666213111238529
42;1;D04;0;0;0.37771983296800066
42;1;D04;0;0;0.37801108976533104
42;1;D04;1;0;0.23933194739741304
42;1;D04;1;0;0.2421680249256538
42;1;D04;1;0;0.2451754903015254
42;1;D04;1;0;0.3690879352302092
42;1;D04;0;0;-0.12427026603399927
42;1;D04;0;0;-0.16459567077419013
42;1;D04;0;0;-0.19302325248407803
42;1;D04;0;0;-0.24124379000875473
42;1;D04;1;0;0.48558813683087265
42;1;D04;1;0;0.4808132975921816
42;1;D04;1;1;0.5446544293745897
42;1;D04;0;0;-0.021721183356897766
42;1;D04;0;0;0.00013904774842637968
42;1;D04;1;0;0.4323832396212183
42;1;D05;0;0;-0.04043014791370181
42;1;D05;0;1;0.5270171200340686
42;1;D05;0;1;0.5049897794323165
42;1;D05;1;1;1.0344210750185718
42;1;D05;1;1;0.7807276710584204
42;1;D05;1;1;0.7984512775239163
42;1;D05;1;1;0.9003448743440613
42;1;D05;0;0;-0.1844211032791292
42;1;D05;0;0;-0.24891510577112697
42;1;D05;0;0;0.22888441137364623
42;1;D05;0;0;0.22145857127330093
42;1;D05;1;1;0.7716351807272754
42;1;D05;0;0;-0.0866680220023539
42;1;D05;0;0;-0.1044421821977316
42;1;D05;1;1;0.8571069937667288
42;1;D05;1;1;1.13857376549
42;1;D06;0;0;0.22300396952849655
42;1;D06;0;0;0.2048386708238229
42;1;D06;1;1;0.8547513458838759
42;1;D06;1;1;0.8555655730050418
42;1;D06;1;1;0.8829811974776014
42;1;D06;1;1;0.8976427459090723
42;1;D06;1;1;0.7479327603184711
42;1;D06;0;0;0.11542241566881511
42;1;D06;0;0;0.1337434757839362
42;1;D06;0;0;0.10806266166273493
42;1;D06;1;1;1.0954662451707833
42;1;D06;1;1;1.129864562247429
42;1;D06;1;1;0.9390635293332006
42;1;D06;1;1;0.9708646127455103
