dia;posicao;banda_nm;vip
D02;1;1355;2.143120280801241
D02;2;1365;2.11417136524873
D02;3;1345;2.011275154220251
D02;4;1375;2.0086244466798937
D02;5;1935;1.7962962457543488
D03;1;1926;2.155756106524362
D03;2;1936;2.0986214323792924
D03;3;1916;2.081867358182782
D03;4;1946;1.955747483461299
D03;5;1836;1.825895474400642
D04;1;1378;1.9872530188391169
D04;2;1928;1.9498389504167748
D04;3;1938;1.932206990026868
D04;4;1388;1.9045815522137888
D04;5;1368;1.8704056933773816
D05;1;1930;2.014674270904804
D05;2;1920;1.981879960309612
D05;3;1360;1.956897542126614
D05;4;1940;1.943789297790282
D05;5;1950;1.8195507716427388
D06;1;1922;1.6822640976499552
D06;2;1932;1.6785606962329684
D06;3;1912;1.6440973031590145
D06;4;1942;1.6393466029318056
D06;5;1952;1.581812988289821
D09;1;1997;1.1908207601211993
D09;2;2007;1.18924665861281
D09;3;1470;1.189101757536781
D09;4;1987;1.1888398189516112
D09;5;1480;1.188392251043089
D10;1;1367;1.9063947608234055
D10;2;710;1.901098595378633
D10;3;1377;1.8489777597286676
D10;4;720;1.8336624223364943
D10;5;1357;1.8319037395733968
