banda_nm;vip;vip_acima_de_1
404;1.4591873744344157;True
414;1.3236111579019163;True
425;1.2180310860669423;True
435;1.1251580676449742;True
444;1.0506330692919974;True
454;0.9682501245327014;False
465;0.8956066224594075;False
474;0.8457833659010423;False
482;0.8044124729443881;False
490;0.762130549712383;False
500;0.7013150689287888;False
510;0.6629915189338166;False
520;0.8937760781622023;False
530;1.1766061567985975;True
549;1.375056015067858;True
555;1.396141776501763;True
560;1.3856695292680714;True
579;1.1578044313618665;True
585;1.1048535222986662;True
598;1.0278193750715081;True
609;0.9362993974625227;False
619;0.8481070447311665;False
621;0.8384493845568529;False
639;0.7807967649316837;False
649;0.6959251010926129;False
659;0.6660754126698718;False
669;0.6550511147114488;False
679;0.6573987492947488;False
685;0.6575119124940632;False
691;0.7013103582983363;False
707;1.9307319372753153;True
713;2.0116005830424712;True
724;1.7670439718308988;True
738;0.6961188111978527;False
743;0.585566597058417;False
753;0.6726423731529376;False
763;0.6989104442728447;False
773;0.6939384210914442;False
783;0.6913786415070858;False
794;0.6918628332212141;False
801;0.6925249080373471;False
809;0.6939738997052629;False
819;0.6959436708738174;False
829;0.7014069830597026;False
839;0.7133310187644561;False
850;0.7352080633482978;False
859;0.7544863388676545;False
873;0.7806135933832512;False
883;0.794014440182504;False
893;0.8034667279401446;False
904;0.8104632334119444;False
913;0.8160307152589392;False
923;0.8209981852016901;False
933;0.8225821606609052;False
944;0.8261593515009883;False
953;0.8232995747536751;False
964;0.8216692395941572;False
974;0.8288448965584573;False
983;0.8480092898485686;False
998;0.870560841819705;False
1003;0.8759520720748246;False
1013;0.895059438589821;False
1024;0.8946826063597431;False
1034;0.8933324419444147;False
1043;0.8897601225867435;False
1057;0.8907765815198226;False
1059;0.8903871757464003;False
1071;0.8837357006543599;False
1080;0.8826002069547452;False
1091;0.8787088560394432;False
1106;0.8567177661905261;False
1117;0.8316785455239696;False
1128;0.8023379006375094;False
1135;0.7769128147181418;False
1144;0.7285103488077185;False
1156;0.6859677137490977;False
1164;0.6962345630698448;False
1169;0.7107686606719527;False
1182;0.7526026670106777;False
1190;0.772502357709961;False
