fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
1;1;1;0.936737739677319
1;1;1;0.9406636675611484
1;1;1;0.9065386616358588
1;0;0;0.3359787524735082
1;0;0;0.281824185965608
1;0;1;0.7481108632551131
1;1;1;0.9044120369211922
1;1;1;0.900683364650175
1;0;0;-0.0717545740063672
1;0;0;-0.1523481060312255
1;0;0;-0.2740239272567714
1;1;1;0.6378946993623963
1;1;1;0.5337865961306083
1;1;1;0.5361562411322014
1;0;0;0.32844398351870774
1;0;0;0.29056309019059456
2;0;0;-0.00887744618877695
2;0;1;0.6246897888260584
2;0;1;0.5808981136417858
2;1;1;1.0250964294663136
2;1;1;0.8949669169061989
2;0;0;0.4497955637156177
2;0;1;0.7513468313520514
2;0;1;0.7425882893645981
2;1;1;0.7339696144058068
2;1;1;0.6807790695652642
2;0;0;0.32328783216151863
2;0;0;0.48582941264797064
2;1;1;0.9149917825170699
2;1;1;0.9192780277718271
2;1;1;0.79315370461071
2;1;1;0.8102594865293155
3;0;0;-0.19449175121870843
3;1;1;0.9324449124634383
3;1;1;0.9078460852176444
3;0;0;0.15054979346307734
3;0;1;0.6635144857789195
3;1;1;0.7189819576280374
3;1;1;0.904983189357323
3;0;0;-0.19433535840024851
3;0;0;-0.3591349352188219
3;0;0;-0.42642756586991637
3;1;1;0.6205517055264999
3;1;1;0.5154306686795955
3;1;1;0.5231417934115674
3;0;0;0.3289955011407193
3;0;0;0.31946385897975804
3;1;1;0.8532951318271051
4;0;0;-0.02596617226177056
4;0;0;-0.10475887484622137
4;0;1;0.551495212031815
4;0;1;0.5011897328339338
4;1;1;0.7926953173372775
4;1;1;0.6352839944878131
4;1;1;0.637259927423616
4;1;1;0.8395705863190878
4;0;0;-0.19006931035687724
4;0;0;-0.18889122418282156
4;1;1;0.6348569265929577
4;0;0;0.39423886649832474
4;0;0;0.3437196688916183
4;1;1;0.9218097266955138
4;1;1;0.7550753894405564
4;1;1;0.7479062384401445
