posicao;banda_nm;vip
1;1378;1.9872530188391166
2;1928;1.9498389504167748
3;1938;1.9322069900268681
4;1388;1.9045815522137886
5;1368;1.8704056933773818
6;1918;1.8601084101781076
7;1948;1.8393938306021458
8;1398;1.730089048520682
9;1358;1.7105308638072723
10;1958;1.7104751384828216
11;1348;1.5978037005020298
12;1908;1.5949377573756778
13;1968;1.57038993220298
14;1408;1.5515261244109988
15;405;1.4671513781435996
16;1978;1.4405368751371084
17;415;1.3478574345993402
18;2447;1.3290248441970414
19;1988;1.325635238807079
20;1418;1.3166761567316354
21;1338;1.2938734261236982
22;1858;1.2904721742870033
23;1848;1.2898567133812573
24;425;1.268791365073793
25;1838;1.2390372153288214
26;1998;1.2356436961039272
27;1868;1.219220915137373
28;2438;1.2190757619835217
29;435;1.1841177264280982
30;2008;1.161332080409165
31;1828;1.1553402821466074
32;2018;1.108123404550045
33;445;1.1073241618457506
34;1818;1.0987962256619894
35;2428;1.097293058128418
36;1878;1.062092178845611
37;2028;1.061860443433238
38;748;1.0563021824946204
39;2238;1.047702843237877
40;2228;1.0461224393868007
41;1018;1.0457616686049356
42;455;1.045001181297509
43;1428;1.043948056732582
44;1898;1.0354962517449355
45;1548;1.0343882517741958
46;1568;1.0341278320811016
47;2248;1.0341171685504242
48;1558;1.0328277390591214
49;1578;1.0322782877976187
50;1028;1.0317040930074273
51;1538;1.0301016176805071
52;1808;1.029400055143331
53;2218;1.0272749127654548
54;2038;1.0214631169556683
55;1038;1.0196632656540678
56;1528;1.0152317321006294
57;1588;1.0133291629472345
58;1048;1.0117434715158133
59;1008;1.0055531270270384
60;2258;1.005233949126657
61;1058;1.0047113880507517
62;1518;0.998616954549194
63;2208;0.9985517430048513
64;758;0.9957313002283376
65;465;0.9927430284931098
66;1598;0.9904921027515541
67;2048;0.9896447795356845
68;1328;0.9876259981226024
69;1068;0.9859158926897214
70;998;0.9844962418112642
71;1508;0.9800809053209512
72;2418;0.979403548012992
73;2198;0.9694072718323925
74;1078;0.9686074543024419
75;988;0.9578916018169538
76;2058;0.9570615359397118
77;2268;0.9540164285758831
78;1798;0.9528149531609473
79;1498;0.9522774883930855
80;475;0.9494176609890318
81;1608;0.9485581598209566
82;2188;0.942529286505396
83;978;0.9410863854956077
84;1088;0.9325520708418855
85;2068;0.9300014215983695
86;768;0.9231692816830541
87;1488;0.9207559646589851
88;968;0.9202093878943883
89;938;0.9157057323293343
90;948;0.9150371187892555
91;958;0.9135443047492623
92;485;0.9118185815690968
93;928;0.9105706751912543
94;918;0.9096869835523662
95;2408;0.909457694764845
96;2178;0.909420121182537
97;2298;0.9051301493310414
98;2278;0.9040985842127218
99;2078;0.9004552671531553
100;1098;0.8990562439539745
101;908;0.8970339666668038
102;2288;0.8939345733954652
103;1618;0.893499701589962
104;898;0.8916778769605013
105;1788;0.8912465072219451
106;2308;0.8864244165420344
107;1478;0.8854576208627233
108;495;0.8828437230632933
109;2168;0.8811371519803715
110;888;0.8776382127269412
111;778;0.8762824233157525
112;2088;0.8730399156960595
113;1108;0.8704395748483751
114;878;0.8679041585248469
115;1438;0.8621429824159297
116;505;0.8599717728932665
117;2158;0.8580579055519454
118;788;0.8575346290581171
119;1118;0.8572035867535516
120;2398;0.8538822920938146
121;2098;0.8502099856738923
