genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,0.074468,0.008373,32,0.071449,0.077487
BR16,IRRIG,3,0.069232,0.009863,32,0.065676,0.072788
BR16,IRRIG,4,0.066486,0.008589,32,0.063390,0.069583
BR16,IRRIG,5,0.065307,0.010626,32,0.061476,0.069138
BR16,IRRIG,6,0.059004,0.006740,32,0.056574,0.061434
BR16,IRRIG,9,0.061096,0.006640,32,0.058701,0.063490
BR16,IRRIG,10,0.071141,0.011395,32,0.067032,0.075249
BR16,NIRRIG,2,0.076631,0.007228,32,0.074025,0.079237
BR16,NIRRIG,3,0.073904,0.004282,32,0.072361,0.075448
BR16,NIRRIG,4,0.076750,0.004596,32,0.075093,0.078407
BR16,NIRRIG,5,0.078774,0.004855,32,0.077023,0.080524
BR16,NIRRIG,6,0.077420,0.006275,32,0.075157,0.079682
BR16,NIRRIG,9,0.060599,0.005781,32,0.058515,0.062683
BR16,NIRRIG,10,0.066454,0.010670,32,0.062607,0.070301
CD202,IRRIG,2,0.071198,0.006403,32,0.068890,0.073507
CD202,IRRIG,3,0.066268,0.005425,32,0.064312,0.068224
CD202,IRRIG,4,0.062422,0.005083,32,0.060589,0.064254
CD202,IRRIG,5,0.063629,0.004162,32,0.062129,0.065130
CD202,IRRIG,6,0.062851,0.004829,32,0.061110,0.064592
CD202,IRRIG,9,0.060189,0.007654,36,0.057599,0.062779
CD202,IRRIG,10,0.067378,0.006875,32,0.064899,0.069857
CD202,NIRRIG,2,0.076119,0.007591,32,0.073382,0.078856
CD202,NIRRIG,3,0.076331,0.004400,32,0.074744,0.077917
CD202,NIRRIG,4,0.075151,0.003459,32,0.073904,0.076398
CD202,NIRRIG,5,0.072340,0.004131,32,0.070851,0.073830
CD202,NIRRIG,6,0.075997,0.004758,32,0.074281,0.077712
CD202,NIRRIG,9,0.068051,0.006715,32,0.065629,0.070472
CD202,NIRRIG,10,0.077510,0.006376,32,0.075211,0.079809
EMB48,IRRIG,2,0.067586,0.006613,32,0.065202,0.069970
EMB48,IRRIG,3,0.064647,0.005040,32,0.062830,0.066464
EMB48,IRRIG,4,0.062841,0.007624,32,0.060092,0.065589
EMB48,IRRIG,5,0.064610,0.008555,32,0.061525,0.067694
EMB48,IRRIG,6,0.062876,0.005602,32,0.060856,0.064895
EMB48,IRRIG,9,0.060054,0.008970,32,0.056820,0.063288
EMB48,IRRIG,10,0.066561,0.008342,32,0.063553,0.069568
EMB48,NIRRIG,2,0.077366,0.008341,32,0.074358,0.080373
EMB48,NIRRIG,3,0.069117,0.011061,32,0.065129,0.073105
EMB48,NIRRIG,4,0.069969,0.009429,32,0.066570,0.073369
EMB48,NIRRIG,5,0.071549,0.008572,32,0.068458,0.074639
EMB48,NIRRIG,6,0.070313,0.006400,32,0.068005,0.072620
EMB48,NIRRIG,9,0.065906,0.005949,32,0.063761,0.068051
EMB48,NIRRIG,10,0.070200,0.009359,32,0.066826,0.073575
