seed;fold;banda_nm;vip
42;1;405;1.3184926084560122
42;1;415;1.2466143353476218
42;1;425;1.2211299057568925
42;1;435;1.1693315568996965
42;1;445;1.1329579798869107
42;1;455;1.0970034148588095
42;1;465;1.0692017014070763
42;1;475;1.0420156092497252
42;1;485;1.016299751180915
42;1;495;0.9893402345172163
42;1;505;0.9541407021361363
42;1;515;0.9155384136156985
42;1;525;0.8300189023462211
42;1;535;0.7481863233837494
42;1;545;0.7436478361745896
42;1;555;0.7781704520702305
42;1;565;0.850666051822369
42;1;575;0.918676713148747
42;1;585;0.9422119203662843
42;1;595;0.9526984411501125
42;1;605;0.9441413930678039
42;1;615;0.930295533250525
42;1;625;0.926365930121555
42;1;635;0.9292974152435778
42;1;645;0.918545400660283
42;1;655;0.9099091561190212
42;1;665;0.9164404881784051
42;1;675;0.9378862899128237
42;1;685;0.9658866006983593
42;1;695;0.8861140290225861
42;1;705;0.6154014093430339
42;1;715;0.7024592685474846
42;1;725;0.07276466166972287
42;1;735;1.3470429406297266
42;1;745;1.5689989082662976
42;1;755;1.454164538692654
42;1;765;1.3315764753959258
42;1;775;1.2308488708593897
42;1;785;1.175995473464101
42;1;795;1.1472189525993937
42;1;805;1.1260415894177906
42;1;815;1.1011386320465135
42;1;825;1.0600246155503523
42;1;835;1.0050479923409392
42;1;845;0.9517821897146653
42;1;855;0.9140517594599057
42;1;865;0.8854550881886886
42;1;875;0.8733509762289237
42;1;885;0.8675275225127052
42;1;895;0.8647811987000376
42;1;905;0.865969418050271
42;1;915;0.8686308219738419
42;1;925;0.8708800514196281
42;1;935;0.8760864791285924
42;1;945;0.8843646017262348
42;1;955;0.8972762422319791
42;1;965;0.8942003063289152
42;1;975;0.8991441947014758
42;1;985;0.9153394540416041
42;1;995;0.9219263897998118
42;1;1005;0.9079815845169213
42;1;1015;0.9192262714329923
42;1;1025;0.9177156338477898
42;1;1035;0.9158563831471987
42;1;1045;0.9219345261838786
42;1;1055;0.9100896902788057
42;1;1065;0.8967114193620576
42;1;1075;0.8649670805628509
42;1;1085;0.8030632200742219
42;1;1095;0.7496597625470197
42;1;1105;0.7441656549414739
42;1;1115;0.7757361021461732
42;1;1125;0.8319099400794397
42;1;1135;0.8762434378618147
42;1;1145;0.9009112683980679
42;1;1155;0.9103791110616118
42;1;1165;0.9115228622732215
42;1;1175;0.9095047639962496
42;1;1185;0.9053239768549328
42;1;1195;0.9022847753636102
42;1;1205;0.9026715510429177
42;1;1215;0.9054951984327633
42;1;1225;0.9136085899848003
42;1;1235;0.9287378479523845
42;1;1245;0.9411556855677375
42;1;1255;0.9491620678485039
42;1;1265;0.965976468745719
42;1;1275;0.9770914418770078
42;1;1285;1.0039630209397432
42;1;1295;1.0468833342133537
42;1;1305;1.072093008377425
42;1;1315;1.0272400037252367
42;1;1325;0.9674632412416527
