dia;amostras;bandas_originais;grupos_spearman;reducao;limiar_spearman_abs_rho;janela_nm;n_componentes_pls_da;balanced_accuracy_cv;bandas_significativas_representativas;top5_encontradas
D02;64;2051;206;0.8995611896635788;0.8;10;7;0.53125;0;0
D03;64;2051;206;0.8995611896635788;0.8;10;5;0.75;180;5
D04;64;2051;206;0.8995611896635788;0.8;10;2;0.703125;161;5
D05;64;2051;207;0.8990736226231106;0.8;10;7;0.828125;193;5
D06;64;2051;208;0.8985860555826426;0.8;10;9;0.75;194;5
D09;64;2051;206;0.8995611896635788;0.8;10;7;0.828125;164;5
D10;64;2051;206;0.8995611896635788;0.8;10;2;0.65625;125;5
