fold;banda_nm;vip
1;405;0.7558356098069451
1;415;0.6663616536487232
1;425;0.6284238133471676
1;435;0.5903587312749203
1;445;0.5771053759697206
1;455;0.5678004348172588
1;465;0.5572422326407465
1;475;0.5529444544488846
1;485;0.5531829813880025
1;495;0.5633102359299549
1;505;0.59729274533439
1;515;0.6634344651573356
1;525;0.6800483603631814
1;535;0.5715959979518467
1;545;0.5144250204879868
1;555;0.49643837747409886
1;565;0.5799443389962861
1;575;0.7050496712748653
1;585;0.7762118915677504
1;595;0.8104377656584207
1;605;0.8168222161911721
1;615;0.8406521222350399
1;625;0.8590930525701139
1;635;0.8712845462758899
1;645;0.8622905050683081
1;655;0.8540727841022632
1;665;0.8643636865958613
1;675;0.9199162990695295
1;685;1.0144514143831331
1;695;1.199513602713408
1;705;1.2257319440312753
1;715;1.3061311848762294
1;725;1.1492923964752206
1;735;0.9361730224960731
1;745;0.8686774980436157
1;755;0.8490333093098926
1;765;0.8280978322792157
1;775;0.7936503643293892
1;785;0.7718182242571386
1;795;0.7621134850947141
1;805;0.7541189755089847
1;815;0.7489356557233573
1;825;0.7472050714218567
1;835;0.7543077031083745
1;845;0.7604594293050109
1;855;0.7758068692396125
1;865;0.7888206022361025
1;875;0.7896267645489523
1;885;0.7932531458631473
1;895;0.7892223912631493
1;905;0.7850198973372299
1;915;0.7789433339496754
1;925;0.7769429452347618
1;935;0.7646956828549645
1;945;0.7445084231923913
1;955;0.7078322876845038
1;965;0.6931509370840169
1;975;0.7042111018002749
1;985;0.7064827540415337
1;995;0.7082421600284933
1;1005;0.7056097013992128
1;1015;0.6947134562025664
1;1025;0.6971880096223768
1;1035;0.682564334858392
1;1045;0.6603087379243774
1;1055;0.6464981428752258
1;1065;0.6178534299909649
1;1075;0.588463188533476
1;1085;0.5690017822937321
1;1095;0.5572829018247434
1;1105;0.5570747082880032
1;1115;0.5651482576120238
1;1125;0.5721060135092758
1;1135;0.5688137838445438
1;1145;0.5492299971381486
1;1155;0.5410123674060324
1;1165;0.5341272165475384
1;1175;0.539636174091463
1;1185;0.5628995518346809
1;1195;0.5742805872444812
1;1205;0.5805351087767054
1;1215;0.5511187570135996
1;1225;0.5244072836601782
1;1235;0.49598025674694807
1;1245;0.4765545176282231
1;1255;0.4582390599585882
1;1265;0.4551891541562449
1;1275;0.47935165683351705
1;1285;0.537708766440484
1;1295;0.635115947808964
1;1305;0.8083923868244235
1;1315;1.0679507498685965
1;1325;1.3505805834117417
1;1335;1.7880897807572382
1;1345;1.9068459424796498
1;1355;1.7460368098963215
1;1365;1.6256977844753073
1;1375;1.5697998511422766
1;1385;1.5072872295395954
1;1395;1.367679284044038
1;1405;1.216230304569017
1;1415;0.9914702226691323
1;1425;0.715065643329007
1;1435;0.5576761523849584
1;1445;0.5694562987865176
1;1455;0.6240256780219497
1;1465;0.6699903179761652
1;1475;0.7112908716721206
1;1485;0.7417495092739692
1;1495;0.7541731938054903
1;1505;0.7622521334914133
1;1515;0.7700200005672674
1;1525;0.7800109690999587
1;1535;0.7829733375155413
1;1545;0.7865840979500222
1;1555;0.7864680700545709
1;1565;0.7856755836296305
1;1575;0.7706483242760352
1;1585;0.7408975300995849
1;1595;0.7080735705945967
1;1605;0.6609689656141714
1;1615;0.6013372825193776
1;1625;0.5576096911874101
1;1635;0.520709491391156
1;1645;0.4947444799623076
1;1655;0.480305322250308
1;1665;0.4845367729697457
