fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;0.9375;0.9333333333333333;0.875;0.984375
2;48;16;0.875;0.8571428571428571;0.75;0.9375
3;48;16;0.8125;0.8;0.625;0.953125
4;48;16;0.8125;0.7692307692307693;0.625;0.90625
