accuracy;f1;kappa;auc_roc;accuracy_dp;f1_dp;kappa_dp;auc_roc_dp;genotipo;dia
0.859375;0.8399267399267398;0.71875;0.9453125;0.05983919423477113;0.072141645895758;0.11967838846954226;0.03252603124165832;BR16;D02
0.859375;0.8396291208791209;0.71875;0.95703125;0.03125;0.04768119447755837;0.0625;0.034646184103255394;BR16;D03
0.84375;0.8592261904761904;0.6875;0.875;0.1301041249666333;0.10495281576696724;0.2602082499332666;0.1588328196039261;BR16;D04
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;BR16;D05
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;BR16;D06
0.90625;0.9222222222222222;0.8125;0.96875;0.11967838846954226;0.09686442096757052;0.23935677693908453;0.0625;BR16;D09
0.640625;0.6654761904761904;0.28125;0.73828125;0.10673907047874581;0.1403146771253102;0.21347814095749162;0.14170591521263323;BR16;D10
0.75;0.7511204481792717;0.5;0.796875;0.08838834764831845;0.07330645134524887;0.1767766952966369;0.040343576522993925;CD202;D02
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;CD202;D03
0.875;0.8928104575163399;0.75;0.9609375;0.08838834764831845;0.06660255792343525;0.1767766952966369;0.027063293868263706;CD202;D04
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;CD202;D05
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;CD202;D06
0.9852941176470589;0.9833333333333334;0.9702797202797203;1.0;0.02941176470588236;0.033333333333333326;0.059440559440559426;0.0;CD202;D09
0.875;0.8932748538011696;0.75;0.9765625;0.08838834764831845;0.07448970294068422;0.1767766952966369;0.015625;CD202;D10
0.71875;0.7327205882352941;0.4375;0.77734375;0.08068715304598785;0.08441377158234689;0.1613743060919757;0.08106449175142386;EMB48;D02
0.984375;0.9833333333333334;0.96875;1.0;0.03125;0.033333333333333326;0.0625;0.0;EMB48;D03
0.890625;0.8915441176470589;0.78125;0.9765625;0.03125;0.03308823529411764;0.0625;0.015625;EMB48;D04
0.765625;0.7695006747638327;0.53125;0.921875;0.09375;0.07478088250807037;0.1875;0.08930431353897003;EMB48;D05
0.984375;0.9852941176470589;0.96875;1.0;0.03125;0.02941176470588236;0.0625;0.0;EMB48;D06
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;EMB48;D09
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;EMB48;D10
