modelo;modo;genotipo;fold;banda_nm;componente_1;componente_2
pls_da;por_genotipo;BR16;1;1560;-0.4759455488791536;-0.04375849696424424
pls_da;por_genotipo;BR16;1;400;0.5936119328904591;-0.3988929531623137
pls_da;por_genotipo;BR16;1;719;-0.0840637338373322;0.7150292247227976
pls_da;por_genotipo;BR16;1;2039;-0.5053379693983409;-0.10234069351535545
pls_da;por_genotipo;BR16;1;520;0.3983309339856268;0.5632310326180439
pls_da;por_genotipo;BR16;2;1560;-0.46551744228981484;-0.08232161047511406
pls_da;por_genotipo;BR16;2;400;0.6094512496786564;-0.46937856045908904
pls_da;por_genotipo;BR16;2;719;-0.06654617069603519;0.6452411642967815
pls_da;por_genotipo;BR16;2;2039;-0.5013312444013649;-0.11858980706801112
pls_da;por_genotipo;BR16;2;520;0.39509653977445225;0.5852411613913027
pls_da;por_genotipo;BR16;3;1560;-0.47589881422741925;-0.039276988084530985
pls_da;por_genotipo;BR16;3;400;0.5983315107878234;-0.4221274357668547
pls_da;por_genotipo;BR16;3;719;-0.07475908452370411;0.6817793007499086
pls_da;por_genotipo;BR16;3;2039;-0.5048451614255085;-0.10671278282951739
pls_da;por_genotipo;BR16;3;520;0.39377933424917877;0.5865621137012277
pls_da;por_genotipo;BR16;4;1560;-0.4730547146092511;-0.05617294739184615
pls_da;por_genotipo;BR16;4;400;0.6099151298672497;-0.4406473764224668
pls_da;por_genotipo;BR16;4;719;-0.05856973685844108;0.6915672958542092
pls_da;por_genotipo;BR16;4;2039;-0.4968124490031804;-0.13126130537588993
pls_da;por_genotipo;BR16;4;520;0.3923897906225016;0.5542378863351207
pls_da;por_genotipo;BR16;5;1560;-0.4824312641684832;0.0016210270947338962
pls_da;por_genotipo;BR16;5;400;0.5947789449383851;-0.4405615877391909
pls_da;por_genotipo;BR16;5;719;-0.0296291665874382;0.6748641689434652
pls_da;por_genotipo;BR16;5;2039;-0.5030988087860304;-0.09876969674659392
pls_da;por_genotipo;BR16;5;520;0.3993892626200548;0.5837000600999728
