dia;posicao;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D05;1;1833;2.637510085515891e-05;2.8697788781926223e-05;0.2687529078784119;0.611328125;True;145;1.4031926375560504;True;0.611328125
D05;2;1852;1.956176847224488e-05;2.1363784417771168e-05;0.2779272642679901;0.62109375;True;146;1.220957497779774;True;0.62109375
D05;3;1547;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;116;1.1985177270837437;True;1.0
D05;4;1537;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;115;1.1956439335210363;True;1.0
D05;5;1557;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;117;1.1952345665476423;True;1.0
