;D02;D03;D04;D05;D06;D09;D10
D02;1.000000;0.999901;0.999685;0.998905;0.998319;0.999749;0.999786
D03;0.999901;1.000000;0.999613;0.998781;0.998173;0.999763;0.999770
D04;0.999685;0.999613;1.000000;0.999538;0.999144;0.999784;0.999630
D05;0.998905;0.998781;0.999538;1.000000;0.999806;0.999326;0.999182
D06;0.998319;0.998173;0.999144;0.999806;1.000000;0.998802;0.998619
D09;0.999749;0.999763;0.999784;0.999326;0.998802;1.000000;0.999838
D10;0.999786;0.999770;0.999630;0.999182;0.998619;0.999838;1.000000
