;D02;D03;D04;D05;D06;D09;D10
D02;1.000000;0.997362;0.998890;0.995705;0.998983;0.999724;0.998669
D03;0.997362;1.000000;0.993370;0.999776;0.999309;0.996663;0.992838
D04;0.998890;0.993370;1.000000;0.990889;0.996442;0.999068;0.999628
D05;0.995705;0.999776;0.990889;1.000000;0.998440;0.994802;0.990222
D06;0.998983;0.999309;0.996442;0.998440;1.000000;0.998822;0.996189
D09;0.999724;0.996663;0.999068;0.994802;0.998822;1.000000;0.999193
D10;0.998669;0.992838;0.999628;0.990222;0.996189;0.999193;1.000000
