data_etr;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_etr;p_spearman_etr;indice_X
02/03;D09M;1556;1.0447884105859335;1.0170520827241256;-0.7031963636553615;0.00012671372056299857;1206
02/03;D09M;1563;1.0446500713342561;1.0169174160082477;-0.7075451352302247;0.00011020321500541205;1213
02/03;D09M;1570;1.0442840905696888;1.0165611510506076;-0.7040661179703341;0.00012324871667273956;1220
02/03;D09M;980;1.0440997056077506;1.0163816610144796;-0.7153729240649782;8.51778700662793e-05;630
02/03;D09M;990;1.044056026539233;1.016339141507987;-0.7153729240649782;8.51778700662793e-05;640
02/03;D09M;1547;1.0439784681962825;1.0162636421308584;-0.6962383291355806;0.00015764032128615557;1197
02/03;D09M;970;1.0436873175472217;1.0159802207500186;-0.7153729240649782;8.51778700662793e-05;620
02/03;D09M;1530;1.0433621631679928;1.015663698346773;-0.6997173463954711;0.00014144012351540523;1180
02/03;D09M;963;1.0429112017989368;1.015224708791587;-0.7153729240649782;8.51778700662793e-05;613
02/03;D09M;1000;1.0422674277296349;1.0145980251957956;-0.7058056266002793;0.00011656642129055513;650
02/03;D09M;1580;1.0422179565380003;1.0145498673315076;-0.695368574820608;0.00016193490352465616;1230
02/03;D09M;1520;1.0410229572192482;1.0133865920370304;-0.6997173463954711;0.00014144012351540523;1170
02/03;D09M;1590;1.0410165318647917;1.0133803372584878;-0.6827571372535051;0.0002367239790104418;1240
02/03;D09M;1518;1.040535353672354;1.0129119330554721;-0.6997173463954711;0.00014144012351540523;1168
02/03;D09M;944;1.0403518421565534;1.0127332932778315;-0.7058056266002793;0.00011656642129055513;594
02/03;D09M;950;1.0403422817315153;1.012723986656416;-0.7058056266002793;0.00011656642129055513;600
02/03;D09M;891;1.040240832887575;1.0126252310069712;-0.7036312408128479;0.00012497071904839948;541
02/03;D09M;900;1.039639914864377;1.0120402657442944;-0.6992824692379849;0.00014338210129112558;550
02/03;D09M;930;1.0396275919068225;1.0120282699281855;-0.6992824692379849;0.00014338210129112558;580
02/03;D09M;910;1.0393030020657366;1.0117122970761105;-0.6992824692379849;0.00014338210129112558;560
02/03;D09M;880;1.039231872153684;1.011643055472295;-0.6992824692379849;0.00014338210129112558;530
02/03;D09M;920;1.039180092140011;1.011592650078996;-0.6992824692379849;0.00014338210129112558;570
02/03;D09M;870;1.0389058297735372;1.0113256686421728;-0.6992824692379849;0.00014338210129112558;520
02/03;D09M;860;1.0383409835115704;1.010775817532291;-0.6992824692379849;0.00014338210129112558;510
02/03;D09M;1607;1.0368850978243365;1.0093585817021393;-0.6849315230409366;0.00022201334888184972;1257
02/03;D09M;850;1.0368663276298529;1.009340309805936;-0.6992824692379849;0.00014338210129112558;500
02/03;D09M;1503;1.0361212758728644;1.0086150371732145;-0.6992824692379849;0.00014338210129112558;1153
02/03;D09M;1610;1.0361071373755235;1.008601274015027;-0.6740595941037788;0.000304389213117866;1260
02/03;D09M;840;1.0359931965662321;1.0084903580283804;-0.6992824692379849;0.00014338210129112558;490
02/03;D09M;830;1.0345435139137644;1.0070791605590725;-0.6992824692379849;0.00014338210129112558;480
02/03;D09M;780;1.0344474320711081;1.0069856294314343;-0.6949336976631216;0.00016412023179056428;430
02/03;D09M;800;1.0342625221136343;1.006805628336993;-0.6949336976631216;0.00016412023179056428;450
02/03;D09M;790;1.0340120048215398;1.0065617616065605;-0.6949336976631216;0.00016412023179056428;440
02/03;D09M;770;1.0334258481374985;1.0059911658091085;-0.7184170641673823;7.688471460061752e-05;420
02/03;D09M;810;1.0334073379705235;1.0059731470373814;-0.6949336976631216;0.00016412023179056428;460
02/03;D09M;1621;1.0333659713563685;1.0059328785957953;-0.6723200854738336;0.000319773595956836;1271
02/03;D09M;821;1.033084762514281;1.0056591350936395;-0.6992824692379849;0.00014338210129112558;471
