banda_nm;rho_spearman_etr;p_spearman_etr;passa_p_0001;intervalo_10nm
350;0.23217391304347823;0.2749652411831776;False;0
351;0.2539130434782608;0.2312073651674543;False;0
352;0.4252173913043478;0.038320224728769586;False;0
353;0.3478260869565217;0.09581319432361445;False;0
354;0.16173913043478258;0.45021888484637085;False;0
355;0.20608695652173914;0.3339723271430129;False;0
356;0.3930434782608695;0.05743308855527011;False;0
357;0.4052173913043478;0.049486403439549555;False;0
358;0.29913043478260865;0.155619554462795;False;0
359;0.2869565217391304;0.1739742419036644;False;0
360;0.4591304347826086;0.024015134743792032;False;1
361;0.3652173913043478;0.079279890610089;False;1
362;0.3304347826086956;0.11478470741054941;False;1
363;0.37217391304347824;0.0733081094311025;False;1
364;0.2652173913043478;0.21038389787314837;False;1
365;0.2573913043478261;0.22466048988773973;False;1
366;0.3060869565217391;0.1457674095865942;False;1
367;0.2982608695652174;0.15688329961066766;False;1
368;0.31565217391304345;0.1329572125391265;False;1
369;0.25652173913043474;0.22628553340548083;False;1
370;0.2817391304347826;0.1822827700109572;False;2
371;0.32695652173913037;0.11888708485840495;False;2
372;0.23913043478260865;0.2604279368029269;False;2
373;0.23826086956521736;0.26221750952163625;False;2
374;0.24260869565217388;0.25334838197246123;False;2
375;0.29478260869565215;0.16201059639566895;False;2
376;0.3008695652173913;0.15311364746090086;False;2
377;0.3;0.15436300913601078;False;2
378;0.2504347826086956;0.23787902276971334;False;2
379;0.24260869565217388;0.25334838197246123;False;2
380;0.24434782608695652;0.24985580217173992;False;3
381;0.2965217391304348;0.15943245327776345;False;3
382;0.27999999999999997;0.18511205365132619;False;3
383;0.3104347826086956;0.1398400158289614;False;3
384;0.2826086956521739;0.1808793683193113;False;3
385;0.24086956521739128;0.2568724180084134;False;3
386;0.2434782608695652;0.25159816184284295;False;3
387;0.2504347826086956;0.23787902276971334;False;3
388;0.23478260869565212;0.2694546117695452;False;3
389;0.27043478260869563;0.20121293703333992;False;3
390;0.288695652173913;0.17126415242206844;False;4
391;0.22434782608695653;0.2919232059452401;False;4
392;0.19913043478260867;0.3508987130768878;False;4
393;0.17565217391304347;0.41165144697505396;False;4
394;0.2434782608695652;0.25159816184284295;False;4
395;0.23565217391304347;0.2676335104066907;False;4
396;0.21130434782608692;0.3216050354597519;False;4
397;0.19391304347826085;0.3639188559293712;False;4
398;0.2226086956521739;0.295778422534422;False;4
399;0.1843478260869565;0.38850589974170086;False;4
400;0.20173913043478262;0.34449303140739784;False;5
401;0.1869565217391304;0.38170896863505804;False;5
402;0.18869565217391301;0.3772156351847256;False;5
403;0.1878260869565217;0.3794584983173827;False;5
404;0.17739130434782607;0.40696255139715676;False;5
405;0.16695652173913042;0.4355381053206146;False;5
406;0.10173913043478258;0.6361837822056855;False;5
407;0.09913043478260869;0.644905639030735;False;5
408;0.10173913043478258;0.6361837822056855;False;5
409;0.17913043478260868;0.40230343183605977;False;5
410;0.21826086956521737;0.3055543915844942;False;6
411;0.19130434782608693;0.3705328066699431;False;6
412;0.1252173913043478;0.559898535790483;False;6
413;0.09565217391304347;0.6566056616723347;False;6
414;0.1217391304347826;0.5709355226889167;False;6
415;0.13391304347826086;0.5327356259700111;False;6
416;0.03826086956521739;0.8591175903218993;False;6
417;0.041739130434782605;0.8464521133997218;False;6
418;0.0634782608695652;0.7682424072237529;False;6
419;0.034782608695652174;0.8718168719786574;False;6
420;0.04869565217391304;0.8212344730022533;False;7
421;0.054782608695652164;0.799308243488264;False;7
422;0.08347826086956521;0.6981606006787424;False;7
423;0.10695652173913042;0.6188809974331807;False;7
424;0.033913043478260865;0.8749966229566862;False;7
425;0.023478260869565212;0.9132865779270147;False;7
426;0.04608695652173912;0.8306723439322354;False;7
427;0.054782608695652164;0.799308243488264;False;7
428;0.040869565217391296;0.8496151500324183;False;7
429;0.046956521739130425;0.8275237958648594;False;7
430;0.07043478260869565;0.7436342012968034;False;8
431;0.03739130434782608;0.8622893584755253;False;8
432;0.047826086956521734;0.8243778236378612;False;8
433;0.04608695652173912;0.8306723439322354;False;8
434;0.040869565217391296;0.8496151500324183;False;8
435;0.05739130434782608;0.7899551413098405;False;8
436;0.05652173913043478;0.7930697839291405;False;8
437;0.06;0.7806300955564119;False;8
438;0.05739130434782608;0.7899551413098405;False;8
439;0.04347826086956521;0.8401329841149333;False;8
440;0.042608695652173914;0.8432913759776879;False;9
441;0.051750381740870766;0.8102135187996976;False;9
442;0.04869565217391304;0.8212344730022533;False;9
443;0.05826086956521739;0.7868436161547347;False;9
444;0.06173913043478261;0.7744295754905792;False;9
445;0.03913043478260869;0.8559479350713372;False;9
446;0.05565217391304347;0.7961874995255513;False;9
447;0.05565217391304347;0.7961874995255513;False;9
448;0.04608695652173912;0.8306723439322354;False;9
449;0.04566210153606244;0.8322115945996158;False;9
450;0.03043478260869565;0.8877339355759605;False;10
451;0.014782608695652172;0.9453421257736343;False;10
452;0.054782608695652164;0.799308243488264;False;10
453;0.04434782608695652;0.8369769840650598;False;10
454;0.01217391304347826;0.9549770846497846;False;10
455;0.015652173913043476;0.9421320594035385;False;10
456;0.014782608695652172;0.9453421257736343;False;10
457;0.02;0.9260958020254711;False;10
458;0.011304347826086955;0.9581901628011082;False;10
459;-0.03174603249650055;0.8829288314240065;False;10
460;-0.03043478260869565;0.8877339355759605;False;11
461;-0.034782608695652174;0.8718168719786574;False;11
462;-0.03826086956521739;0.8591175903218993;False;11
463;-0.011304347826086955;0.9581901628011082;False;11
464;-0.04434782608695652;0.8369769840650598;False;11
465;-0.04347826086956521;0.8401329841149333;False;11
466;-0.04434782608695652;0.8369769840650598;False;11
467;-0.04347826086956521;0.8401329841149333;False;11
468;-0.04608695652173912;0.8306723439322354;False;11
469;-0.046956521739130425;0.8275237958648594;False;11
