fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
1;1;1;1.2283819091012966
1;1;1;1.247435336632082
1;1;1;0.9987497966369158
1;0;0;-0.002658188075077117
1;0;0;-0.01777266011058032
1;0;0;0.3423137026652341
1;1;1;0.9953577384052517
1;1;1;0.9991899838292678
1;0;0;0.019233675715302767
1;0;0;-0.027646458389095074
1;0;0;-0.13000756032827954
1;1;1;0.8325768833784251
1;1;1;0.8331419713107416
1;1;1;0.8342772304669837
1;0;0;-0.10627890338266921
1;0;0;-0.1620110756850346
2;0;0;0.2445305255252121
2;0;0;0.3893219539044126
2;0;0;0.3624147322915544
2;1;1;1.1914332793434816
2;1;1;0.9709484570492835
2;0;0;0.12149400856889503
2;0;0;0.31147692789656933
2;0;0;0.2599026346656712
2;1;1;0.7659414956327244
2;1;1;0.8343328613681337
2;0;0;-0.08797963834947975
2;0;0;0.044192667086053794
2;1;1;0.8170626438968231
2;1;1;0.8577083703548987
2;1;1;1.08099757353646
2;1;1;1.1805521602622158
3;0;0;0.10894641891476503
3;1;1;1.2437305402738699
3;1;1;0.917611003529775
3;0;0;-0.06097402252693218
3;0;0;0.16517908038663237
3;1;1;0.7512028422156791
3;1;1;0.9513012503277645
3;0;0;-0.09711827829110875
3;0;0;-0.17211275843302865
3;0;0;-0.20793601791615435
3;1;1;0.8063408533567153
3;1;1;0.8090104357416084
3;1;1;0.8250558690768466
3;0;0;-0.11507480736867726
3;0;0;-0.14885806749558705
3;1;1;0.781588504340558
4;0;0;0.2907084273412185
4;0;0;0.1849005970987525
4;0;0;0.30286861076455346
4;0;0;0.2731715486785725
4;1;1;0.9508251370485092
4;1;1;0.7697841280564799
4;1;1;0.7817352060935628
4;1;1;0.9499077446141896
4;0;0;-0.038688930184612835
4;0;0;-0.09567247237499465
4;1;1;0.8541467783275906
4;0;0;-0.0207414407636336
4;0;0;-0.05565214283211983
4;1;1;0.8252526927165816
4;1;1;1.103516316854313
4;1;1;1.1337100672928497
