modelo;modo;genotipo;fold;n_componentes
pls_da;por_genotipo;CD202;1;2
pls_da;por_genotipo;CD202;2;2
pls_da;por_genotipo;CD202;3;2
pls_da;por_genotipo;CD202;4;2
pls_da;por_genotipo;CD202;5;2
