genotipo;dia;n_dobras;accuracy;accuracy_dp;accuracy_variancia;accuracy_ic95_inf;accuracy_ic95_sup;f1;f1_dp;f1_variancia;f1_ic95_inf;f1_ic95_sup;kappa;kappa_dp;kappa_variancia;kappa_ic95_inf;kappa_ic95_sup;auc_roc;auc_roc_dp;auc_roc_variancia;auc_roc_ic95_inf;auc_roc_ic95_sup
BR16;D02;20;0.825;0.08261753987342423;0.006825657894736842;0.7863338011162662;0.8636661988837337;0.7988858363858364;0.10686383380013346;0.011419878974462548;0.7488720226421112;0.8488996501295617;0.65;0.16523507974684845;0.02730263157894737;0.5726676022325323;0.7273323977674677;0.890625;0.09195093979371483;0.008454975328947368;0.8475906354926918;0.9336593645073082
BR16;D03;20;0.840625;0.07714850256076537;0.005951891447368422;0.8045183893678385;0.8767316106321614;0.8099403945727474;0.1193882615895951;0.014253557005385591;0.7540649681913881;0.8658158209541066;0.68125;0.15429700512153072;0.02380756578947368;0.6090367787356771;0.753463221264323;0.9546875;0.055277596406443766;0.0030556126644736845;0.9288167885295189;0.9805582114704812
BR16;D04;20;0.86875;0.0991327525673475;0.009827302631578945;0.8223544436504211;0.915145556349579;0.8701619858469704;0.10217701837923933;0.010440143084871411;0.8223416692404545;0.9179823024534862;0.7375;0.198265505134695;0.03930921052631578;0.6447088873008422;0.8302911126991579;0.93046875;0.08505074796037022;0.00723362972861842;0.8906637746777579;0.970273725322242
BR16;D05;20;0.971875;0.062417708983403444;0.0038959703947368434;0.9426626129800418;1.0;0.9720700695932895;0.06423208419743805;0.00412576064034677;0.9420085288345118;1.0;0.94375;0.12483541796680687;0.01558388157894737;0.8853252259600836;1.0;0.98984375;0.02967884222787072;0.0008808336759868423;0.975953624271493;1.0
BR16;D06;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
BR16;D09;20;0.896875;0.08428052703229913;0.007103207236842104;0.8574304991682213;0.9363195008317786;0.9114516683866529;0.06820062927188417;0.004651325833080984;0.8795327913605078;0.9433705454127981;0.79375;0.16856105406459826;0.028412828947368417;0.7148609983364427;0.8726390016635572;0.93359375;0.07785727152051002;0.006061754728618421;0.8971554252838548;0.9700320747161452
BR16;D10;20;0.659375;0.11555607832062365;0.013353207236842106;0.6052930905965608;0.7134569094034393;0.6993078283945158;0.12133254392858761;0.014721586216182641;0.6425224498683603;0.7560932069206713;0.31875;0.2311121566412473;0.05341282894736842;0.2105861811931215;0.42691381880687845;0.71875;0.11823816286586467;0.013980263157894737;0.6634128363901518;0.7740871636098482
CD202;D02;20;0.790625;0.10590113003223933;0.011215049342105262;0.7410617454887639;0.8401882545112361;0.7865379228614523;0.0975364326433355;0.009513355692787924;0.7408894672335662;0.8321863784893384;0.58125;0.21180226006447866;0.04486019736842105;0.48212349097752777;0.6803765090224723;0.81875;0.11475266594770364;0.013168174342105262;0.7650440991613833;0.8724559008386167
CD202;D03;20;0.984375;0.056904091750020376;0.003238075657894737;0.9577430652767501;1.0;0.9803921568627452;0.07500244503862383;0.005625366761771789;0.9452899320679518;1.0;0.96875;0.11380818350004075;0.012952302631578948;0.9154861305535003;1.0;0.975;0.11180339887498951;0.012500000000000004;0.9226743986397934;1.0
CD202;D04;20;0.878125;0.08230589206381918;0.006774259868421053;0.8396046567808906;0.9166453432191095;0.8931957344341246;0.06702195505508159;0.004491942459405376;0.8618284939219187;0.9245629749463304;0.75625;0.16461178412763836;0.027097039473684213;0.679209313561781;0.8332906864382189;0.9125;0.12328177635635751;0.01519839638157895;0.8548023526161873;0.9701976473838126
CD202;D05;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D06;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D09;20;0.9852941176470589;0.04213825878890465;0.0017756328537606996;0.9655728054724011;1.0;0.9817948717948719;0.05405396567535091;0.0029218312052320143;0.9564968371346804;1.0;0.9700267817289095;0.08618401174713865;0.007427683880830933;0.9296914226281859;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D10;20;0.859375;0.080793250597468;0.006527549342105263;0.821562594778891;0.897187405221109;0.8665112630747306;0.08232658385714722;0.006777666409587894;0.8279812357982489;0.9050412903512123;0.71875;0.161586501194936;0.026110197368421052;0.6431251895577821;0.7943748104422179;0.978125;0.04601737372135145;0.002117598684210527;0.9565882061527986;0.9996617938472014
EMB48;D02;20;0.71875;0.11560054862372092;0.013363486842105263;0.6646472778540534;0.7728527221459466;0.7136854816150483;0.14615483986961633;0.021361237217313193;0.6452829109880729;0.7820880522420237;0.4375;0.23120109724744184;0.05345394736842105;0.32929455570810673;0.5457054442918933;0.76015625;0.14624857666311436;0.02138864617598684;0.6917098092032559;0.8286026907967441
EMB48;D03;20;0.971875;0.047447165907265505;0.002251233552631578;0.9496690428116042;0.9940809571883958;0.9685714285714285;0.053706179732844535;0.0028843537414966008;0.9434361627426803;0.9937066944001768;0.94375;0.09489433181453102;0.009004934210526316;0.8993380856232083;0.9881619143767917;1.0;0.0;0.0;1.0;1.0
EMB48;D04;20;0.88125;0.044886552903725487;0.002014802631578947;0.860242446586527;0.9022575534134729;0.8819502801120448;0.04652389579340054;0.0021644728797951926;0.8601764266379547;0.9037241335861349;0.7625;0.08977310580745097;0.008059210526315789;0.7204848931730541;0.8045151068269458;0.97421875;0.02167139740442518;0.0004696494654605264;0.964076223807478;0.984361276192522
EMB48;D05;20;0.790625;0.10394164291360296;0.010803865131578948;0.7419788136894799;0.8392711863105201;0.7801318122022456;0.12320132052058502;0.015178565378015924;0.722471819308655;0.8377918050958362;0.58125;0.20788328582720592;0.043215460526315794;0.4839576273789599;0.6785423726210402;0.890625;0.11083378676862793;0.012284128289473685;0.8387531910742098;0.9424968089257902
EMB48;D06;20;0.9875;0.02564945880212885;0.0006578947368421051;0.9754956837637297;0.9995043162362703;0.9882352941176471;0.02414066710788598;0.000582771808413768;0.9769371141305692;0.999533474104725;0.975;0.051298917604257706;0.002631578947368421;0.9509913675274595;0.9990086324725405;1.0;0.0;0.0;1.0;1.0
EMB48;D09;20;0.975;0.062170182394355;0.003865131578947368;0.9459034589896884;1.0;0.9699159663865545;0.07990881147125412;0.006385418150748432;0.9325174914181151;1.0;0.95;0.12434036478871;0.015460526315789471;0.8918069179793768;1.0;0.99296875;0.027985307323430308;0.000783177425986842;0.979871223004546;1.0
EMB48;D10;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
