bloco;genotipo;condicao;parametro;reflectancia
B1;BR16;IRRIG;42.93333333;0.14159126
B2;BR16;IRRIG;41.88333333;0.12706796
B3;BR16;IRRIG;44.30000000;0.12885885
B4;BR16;IRRIG;42.75000000;0.14741226
B1;BR16;NIRRIG;45.22000000;0.13455171
B2;BR16;NIRRIG;44.68333333;0.13214970
B3;BR16;NIRRIG;40.01666667;0.14153486
B4;BR16;NIRRIG;42.24000000;0.15054994
B1;EMB48;IRRIG;42.73333333;0.15235559
B2;EMB48;IRRIG;38.16666667;0.14875661
B3;EMB48;IRRIG;40.03333333;0.14830860
B4;EMB48;IRRIG;40.25000000;0.14831500
B1;EMB48;NIRRIG;37.06666667;0.17089531
B2;EMB48;NIRRIG;41.18333333;0.14298900
B3;EMB48;NIRRIG;39.30000000;0.18330930
B4;EMB48;NIRRIG;38.48333333;0.15290904
B1;CD202;IRRIG;40.15000000;0.15288393
B2;CD202;IRRIG;39.26666667;0.14479296
B3;CD202;IRRIG;36.26666667;0.16390227
B4;CD202;IRRIG;39.41666667;0.13851390
B1;CD202;NIRRIG;38.08000000;0.14917136
B2;CD202;NIRRIG;39.83333333;0.13582559
B3;CD202;NIRRIG;39.36666667;0.15917616
B4;CD202;NIRRIG;38.83333333;0.15570158
