dia;posicao;banda_nm;vip
D02;1;1931;2.289812232721485
D02;2;1941;2.2095386966847688
D02;3;1921;2.153988475091242
D02;4;1951;1.918741845969084
D02;5;1835;1.876552366384088
D03;1;1370;2.388613263146303
D03;2;1379;2.157426359749175
D03;3;1361;2.0996378754090483
D03;4;1351;1.7400727666918328
D03;5;711;1.699495834425329
D04;1;714;2.028317051166343
D04;2;1380;2.018755887499589
D04;3;405;1.985701070532763
D04;4;1370;1.9791923375998448
D04;5;1390;1.948702251061188
D05;1;1838;1.251132176973112
D05;2;741;1.2244176428547349
D05;3;1538;1.2152550418655688
D05;4;1548;1.2112037551268695
D05;5;1528;1.210620000574115
D06;1;1921;1.2855880656538832
D06;2;1931;1.2775106438945865
D06;3;1651;1.2486175101690884
D06;4;1641;1.245426895799074
D06;5;1941;1.238269753366431
D09;1;1943;1.7163310773784826
D09;2;1953;1.6932007281627883
D09;3;1933;1.69248259044113
D09;4;1963;1.6376151067062483
D09;5;2263;1.6199087873397064
D10;1;1943;1.9396615004527809
D10;2;1953;1.9319615658747809
D10;3;1933;1.916877338503959
D10;4;1963;1.884976728817632
D10;5;1923;1.872922676589704
