fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;1.0;1.0;1.0;1.0
2;48;16;1.0;1.0;1.0;1.0
3;48;16;0.9375;0.9333333333333333;0.875;0.984375
4;48;16;0.875;0.8571428571428571;0.75;1.0
