fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.14
1;IRRIG;0;0;0.09
1;IRRIG;0;0;0.1
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.09
1;IRRIG;0;0;0.04
1;IRRIG;0;0;0.07
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;0.64
1;NIRRIG;1;1;0.89
1;IRRIG;0;0;0.01
1;IRRIG;0;0;0.03
2;IRRIG;0;0;0.03
2;IRRIG;0;0;0.07
2;IRRIG;0;0;0.04
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.11
2;IRRIG;0;0;0.21
2;IRRIG;0;0;0.23
2;NIRRIG;1;1;0.57
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.01
2;IRRIG;0;0;0.05
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;0.85
2;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.01
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.03
3;IRRIG;0;0;0.39
3;NIRRIG;1;0;0.26
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.22
3;IRRIG;0;0;0.22
3;IRRIG;0;0;0.24
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;0.95
3;NIRRIG;1;1;0.98
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.01
3;NIRRIG;1;1;0.98
4;IRRIG;0;0;0.08
4;IRRIG;0;0;0.01
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;1.0
4;NIRRIG;1;0;0.33
4;NIRRIG;1;0;0.26
4;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.02
4;IRRIG;0;0;0.07
4;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.03
4;NIRRIG;1;1;0.98
4;NIRRIG;1;1;0.88
4;NIRRIG;1;1;0.89
