grupo;banda_nm;posicao;via;efeito_tempo;p_tempo;q_tempo
IRRIG;2447;1;anova_mr;0.5679582529488658;1.1271100309348592e-06;7.709393255029373e-05
IRRIG;2446;2;anova_mr;0.5679060593146468;1.0732127742092164e-06;7.709393255029373e-05
IRRIG;2448;3;anova_mr;0.5675631414724418;1.2071280152084888e-06;7.709393255029373e-05
IRRIG;2445;4;anova_mr;0.5674143112296708;1.0420336365626638e-06;7.709393255029373e-05
IRRIG;2449;5;anova_mr;0.5667071447350207;1.3185591666714045e-06;7.709393255029373e-05
IRRIG;2444;6;anova_mr;0.5665429187329079;1.0248709556776477e-06;7.709393255029373e-05
IRRIG;2450;7;anova_mr;0.5653712583347658;1.4691420721234574e-06;7.709393255029373e-05
IRRIG;2443;8;anova_mr;0.5651641959687047;1.0351173088130444e-06;7.709393255029373e-05
IRRIG;2442;9;anova_mr;0.5633613646613136;1.071024216253777e-06;7.709393255029373e-05
IRRIG;2441;10;anova_mr;0.5609730095219967;1.145510773352909e-06;7.709393255029373e-05
IRRIG;2440;11;anova_mr;0.5586709730658542;1.215863076832223e-06;7.709393255029373e-05
IRRIG;2439;12;anova_mr;0.5565061882607863;1.293206377088543e-06;7.709393255029373e-05
IRRIG;2438;13;anova_mr;0.5542069635779543;1.3786058440500057e-06;7.709393255029373e-05
IRRIG;2437;14;anova_mr;0.5524323252462074;1.407496450310243e-06;7.709393255029373e-05
IRRIG;2436;15;anova_mr;0.5509801536649666;1.4198352864772984e-06;7.709393255029373e-05
IRRIG;2435;16;anova_mr;0.5493175407578256;1.445014331145967e-06;7.709393255029373e-05
IRRIG;2434;17;anova_mr;0.547894157683191;1.4397796782434505e-06;7.709393255029373e-05
IRRIG;2433;18;anova_mr;0.5466495887077939;1.4350218684242762e-06;7.709393255029373e-05
IRRIG;2432;19;anova_mr;0.5455442038682109;1.4256575450576616e-06;7.709393255029373e-05
IRRIG;2431;20;anova_mr;0.5441769149390431;1.420210131030921e-06;7.709393255029373e-05
IRRIG;2430;21;anova_mr;0.5427244148525149;1.411801592604097e-06;7.709393255029373e-05
IRRIG;2429;22;anova_mr;0.5410708113756773;1.4332166235077312e-06;7.709393255029373e-05
IRRIG;2428;23;anova_mr;0.5389785682840137;1.4931331887429799e-06;7.709393255029373e-05
IRRIG;2427;24;anova_mr;0.5370437642135275;1.539050377834986e-06;7.709393255029373e-05
IRRIG;746;25;anova_mr;0.5363861603028938;1.9451053530721817e-06;7.709393255029373e-05
IRRIG;747;26;anova_mr;0.5359321873212323;1.8781033102614238e-06;7.709393255029373e-05
IRRIG;745;27;anova_mr;0.5356731849061123;2.1009964076131312e-06;7.709393255029373e-05
IRRIG;2426;28;anova_mr;0.5352344497600247;1.592712177416811e-06;7.709393255029373e-05
IRRIG;748;29;anova_mr;0.5344895637960003;1.8832460940937277e-06;7.709393255029373e-05
IRRIG;744;30;anova_mr;0.5342997882384377;2.3015970724293073e-06;7.709393255029373e-05
IRRIG;2425;31;anova_mr;0.5332732173303385;1.6714368818000741e-06;7.709393255029373e-05
IRRIG;749;32;anova_mr;0.5327898075064867;1.8922494876292298e-06;7.709393255029373e-05
IRRIG;743;33;anova_mr;0.5325578399005341;2.5202564702661404e-06;7.709393255029373e-05
IRRIG;2424;34;anova_mr;0.5315799873007967;1.7302998884126888e-06;7.709393255029373e-05
IRRIG;750;35;anova_mr;0.531296786117571;1.8589890789504608e-06;7.709393255029373e-05
IRRIG;742;36;anova_mr;0.5305826220136387;2.74553445699069e-06;7.820959960122091e-05
IRRIG;2423;37;anova_mr;0.5303935145038925;1.7571843529326814e-06;7.709393255029373e-05
IRRIG;751;38;anova_mr;0.5298260142144522;1.8176400760284828e-06;7.709393255029373e-05
IRRIG;2422;39;anova_mr;0.5294725181465362;1.7670227277446645e-06;7.709393255029373e-05
IRRIG;1916;40;anova_mr;0.5290070080112763;0.00011278672978779867;0.00031350309958276084
IRRIG;1915;41;anova_mr;0.5289340105534965;0.00011127094974589906;0.0003113461363285661
IRRIG;1917;42;anova_mr;0.5289068288648524;0.00011478565726491058;0.00031814240952747513
IRRIG;1914;43;anova_mr;0.5287696615835528;0.00010985802496285373;0.00030781258087269535
IRRIG;1918;44;anova_mr;0.5287612937022352;0.00011673286781853792;0.00032310271510907056
IRRIG;1913;45;anova_mr;0.5286039778638699;0.00010815713329599978;0.00030387709642478843
IRRIG;1919;46;anova_mr;0.5284723792916062;0.00011925993315187652;0.00032876629421303596
IRRIG;2421;47;anova_mr;0.5284589698539905;1.7724064282702118e-06;7.709393255029373e-05
IRRIG;1912;48;anova_mr;0.5283065032354073;0.00010652998663829007;0.0003009545490291087
IRRIG;752;49;anova_mr;0.5282395397050119;1.7947084239906824e-06;7.709393255029373e-05
IRRIG;741;50;anova_mr;0.5281421302481049;3.037869924128009e-06;8.091780797904607e-05
IRRIG;1920;51;anova_mr;0.528100029481921;0.00012165575419215267;0.00033357747573276085
IRRIG;1911;52;anova_mr;0.5279840217099873;0.00010482132135746935;0.00029776804723569204
IRRIG;1921;53;anova_mr;0.5277653071880266;0.00012370364364858714;0.00033738852808943117
IRRIG;1910;54;anova_mr;0.5276082227932343;0.00010305938598879562;0.000295462760751043
IRRIG;1922;55;anova_mr;0.527372702269331;0.00012588757318457796;0.0003427158930520756
IRRIG;2420;56;anova_mr;0.5272272029519993;1.7803987126823595e-06;7.709393255029373e-05
IRRIG;1909;57;anova_mr;0.5271861793750842;0.00010121283874577587;0.00029320272919150606
IRRIG;1923;58;anova_mr;0.5270629560161861;0.0001275312905504919;0.000345987667882353
IRRIG;753;59;anova_mr;0.5268467254719353;1.7593866002599141e-06;7.709393255029373e-05
IRRIG;1924;60;anova_mr;0.526738132999107;0.00012927307401582193;0.0003497876976338401
IRRIG;400;61;anova_mr;0.5267050235055916;7.890410544608948e-06;0.00011309789706989144
IRRIG;1908;62;anova_mr;0.5265811782226174;9.932560323723885e-05;0.000288960017361102
IRRIG;1925;63;anova_mr;0.5264517813955777;0.00013100076751573658;0.00035270829109989026
IRRIG;1926;64;anova_mr;0.5262142133284223;0.0001326818907430582;0.00035619182973038266
IRRIG;1927;65;anova_mr;0.5259518343374626;0.00013466170086668603;0.00036052820993643856
IRRIG;1907;66;anova_mr;0.5256564287681679;9.808525419365593e-05;0.0002861905716332586
IRRIG;1928;67;anova_mr;0.525642763660632;0.00013669989705799202;0.00036459231321969
IRRIG;2419;68;anova_mr;0.5254485792579398;1.8334752803243465e-06;7.709393255029373e-05
IRRIG;754;69;anova_mr;0.5252967344640805;1.7370330330930054e-06;7.709393255029373e-05
IRRIG;401;70;anova_mr;0.5252236706588964;8.560580275004353e-06;0.00011309789706989144
IRRIG;1929;71;anova_mr;0.5252183316244559;0.0001394728913086101;0.00037054261667611313
IRRIG;1930;72;anova_mr;0.5246303660499697;0.0001426263285950012;0.0003721712467536227
IRRIG;740;73;anova_mr;0.5245968356086381;3.5535989586425765e-06;8.448933372656579e-05
