grupo;banda_nm;dia_a;dia_b;baseline;via;diferenca_media;diferenca_postos;estat_q;p_valor;q_fdr;significativa
todas;400;D02;D03;True;tukey;0.03313767474607254;1.0416666666666665;1.9097910891379128;0.8266680440897252;1.0;False
todas;401;D02;D03;True;tukey;0.033376931164422086;1.0833333333333335;1.9295080258859068;0.8196303474919041;1.0;False
todas;402;D02;D03;True;tukey;0.033573094296586836;1.083333333333333;1.9459745509169033;0.8136459667328162;1.0;False
todas;403;D02;D03;True;tukey;0.03372616414256657;1.125;1.9597698318854926;0.8085588672558528;1.0;False
todas;404;D02;D03;True;tukey;0.03383614070236085;1.125;1.971346129925264;0.8042391493937473;1.0;False
todas;405;D02;D03;True;tukey;0.03390302397597078;1.125;1.981013236490357;0.8005967850969823;1.0;False
todas;406;D02;D03;True;tukey;0.033499268740600385;1.0;1.9622940210947144;0.8076208934478253;1.0;False
todas;407;D02;D03;True;tukey;0.03316114035868467;0.875;1.9510779121773716;0.8117718164468528;1.0;False
todas;408;D02;D03;True;tukey;0.03361838641921033;0.958333333333333;1.9879597352599476;0.7979600224605937;1.0;False
todas;409;D02;D03;True;tukey;0.03440365778314325;1.0;2.0434924367957583;0.7763149522381647;1.0;False
todas;410;D02;D03;True;tukey;0.034647733421053095;0.9166666666666665;2.066885044124515;0.7669090315763311;1.0;False
todas;411;D02;D03;True;tukey;0.03514089064310455;0.9166666666666665;2.1044257581220984;0.7514805250736256;1.0;False
todas;412;D02;D03;True;tukey;0.03588149634248161;0.9583333333333335;2.156805261292041;0.7293163775878895;1.0;False
todas;413;D02;D03;True;tukey;0.036404318481054965;1.0;2.195689676303332;0.7124278104594659;1.0;False
todas;414;D02;D03;True;tukey;0.03633711317357502;1.0;2.19797841362984;0.7114231118996862;1.0;False
todas;415;D02;D03;True;tukey;0.03596505847249176;1.0;2.180092028580594;0.719243979833614;1.0;False
todas;416;D02;D03;True;tukey;0.03565093014411125;1.041666666666667;2.1664173486316236;0.7251742763224505;1.0;False
todas;417;D02;D03;True;tukey;0.03555387504592522;1.0;2.168623086379922;0.724220663817389;1.0;False
todas;418;D02;D03;True;tukey;0.0358387014347783;1.0416666666666665;2.1949405735784344;0.7127564001418568;1.0;False
todas;419;D02;D03;True;tukey;0.03600115560229322;1.0416666666666665;2.211744283023574;0.7053565782516094;1.0;False
todas;420;D02;D03;True;tukey;0.03606615051500306;1.0416666666666665;2.2210439176169023;0.7012359071359449;1.0;False
todas;421;D02;D03;True;tukey;0.03635922839681438;1.0416666666666665;2.245588832377681;0.6902776704678935;1.0;False
todas;422;D02;D03;True;tukey;0.03688124430883111;1.0833333333333335;2.2858012687406273;0.6720875994710267;1.0;False
todas;423;D02;D03;True;tukey;0.03741858269835063;1.0833333333333335;2.3265932880588176;0.6533737445130633;1.0;False
todas;424;D02;D03;True;tukey;0.03764617391414671;1.041666666666667;2.3467238764399596;0.6440555751510946;1.0;False
todas;425;D02;D03;True;tukey;0.03750832706734286;1.041666666666667;2.344383760016697;0.6451413210498163;1.0;False
todas;426;D02;D03;True;tukey;0.037479714405110665;1.041666666666667;2.3489359352544152;0.6430286560896276;1.0;False
todas;427;D02;D03;True;tukey;0.037399154106254606;1.041666666666667;2.3501971120708944;0.6424429184984062;1.0;False
todas;428;D02;D03;True;tukey;0.03716893523897569;1.0;2.3412201372408967;0.646608117466803;1.0;False
todas;429;D02;D03;True;tukey;0.03706928067656623;1.0;2.3393537079958917;0.6474729125488006;1.0;False
todas;430;D02;D03;True;tukey;0.037117563511177565;1.0;2.3472044322822447;0.6438325317859754;1.0;False
todas;431;D02;D03;True;tukey;0.037333382518404346;0.9583333333333335;2.3665316538615286;0.6348406068842641;1.0;False
todas;432;D02;D03;True;tukey;0.03758957899781823;0.9583333333333335;2.3887337945463702;0.6244639065721784;1.0;False
todas;433;D02;D03;True;tukey;0.037814552452003714;0.9583333333333335;2.4093425434717086;0.6147930415763779;1.0;False
todas;434;D02;D03;True;tukey;0.03802494506213194;0.9583333333333335;2.4280104284153357;0.6060058320290533;1.0;False
todas;435;D02;D03;True;tukey;0.03810997084591228;0.9583333333333335;2.4378607706848703;0.6013603492976198;1.0;False
todas;436;D02;D03;True;tukey;0.0380580864970228;0.9583333333333335;2.4393685857014553;0.600648776716735;1.0;False
todas;437;D02;D03;True;tukey;0.03795042582608521;0.9583333333333335;2.438672446398637;0.6009773159311407;1.0;False
todas;438;D02;D03;True;tukey;0.03813786183261447;0.9583333333333335;2.456910835393416;0.5923619704687915;1.0;False
todas;439;D02;D03;True;tukey;0.03861180119261132;0.9583333333333335;2.492396541083898;0.57556425781385;1.0;False
todas;440;D02;D03;True;tukey;0.038698449724628325;0.9583333333333335;2.502831647947687;0.5706192757799378;1.0;False
todas;441;D02;D03;True;tukey;0.0387774468197708;0.9583333333333335;2.5134048785553933;0.5656077644185542;1.0;False
todas;442;D02;D03;True;tukey;0.038875102005231144;0.9583333333333335;2.52584531604483;0.5597109133135907;1.0;False
todas;443;D02;D03;True;tukey;0.03888108039790872;0.9583333333333335;2.5325123842270236;0.5565509551851358;1.0;False
todas;444;D02;D03;True;tukey;0.03904660177524155;0.9583333333333335;2.548048530812053;0.5491894285527337;1.0;False
todas;445;D02;D03;True;tukey;0.03900021043339574;1.0;2.5497287676956857;0.5483935270619431;1.0;False
todas;446;D02;D03;True;tukey;0.038759533757199316;1.0;2.540207158605193;0.5529044669181858;1.0;False
todas;447;D02;D03;True;tukey;0.03874377321146483;1.0;2.546342613825366;0.5499975527101861;1.0;False
todas;448;D02;D03;True;tukey;0.03896383215750632;1.0;2.5669560563512523;0.5402372562388855;0.9975802299449105;False
todas;449;D02;D03;True;tukey;0.03912899157080307;1.0;2.583206347462234;0.5325523233507417;0.9870287499048924;False
todas;450;D02;D03;True;tukey;0.039054907247006776;0.958333333333333;2.5838369041677485;0.5322543370784607;0.9866038282108099;False
todas;451;D02;D03;True;tukey;0.039098213357660505;0.9166666666666665;2.5918546159338063;0.528466910128963;0.981018803817109;False
