genotipo;condicao;dia_a;dia_b;posicao;banda_nm;via;p_valor;estat_q;diferenca_media;diferenca_postos
BR16;IRRIG;D02;D05;1;2377;tukey;0.0020149648335997528;6.86630537704315;0.07934426813404682;4.0
BR16;IRRIG;D02;D05;2;2376;tukey;0.002019445486338367;6.864806702075329;0.0793457370835926;4.0
BR16;IRRIG;D02;D05;3;2375;tukey;0.0020240595295731856;6.863266913101548;0.07942221457107101;4.0
BR16;IRRIG;D02;D05;4;2378;tukey;0.002027593634798208;6.862089911919903;0.07936134272008499;4.0
BR16;IRRIG;D02;D05;5;2374;tukey;0.002035740358803606;6.859384586144629;0.07955589296976961;4.0
BR16;IRRIG;D02;D06;1;473;tukey;0.0005576363992968458;7.7403821296598645;-0.15894039982433572;-4.5
BR16;IRRIG;D02;D06;2;462;tukey;0.000557963808652584;7.739978448493456;-0.16367753831595655;-4.5
BR16;IRRIG;D02;D06;3;472;tukey;0.0005581301408565942;7.739773460837452;-0.15929974353946208;-4.5
BR16;IRRIG;D02;D06;4;471;tukey;0.0005649401402360033;7.731433894315756;-0.1596206931809201;-4.5
BR16;IRRIG;D02;D06;5;463;tukey;0.000568166952734428;7.727518058038033;-0.16299310535208122;-4.5
BR16;IRRIG;D03;D05;1;2376;tukey;0.0024801698686346407;6.726269000106284;0.07774447188361577;4.5
BR16;IRRIG;D03;D05;2;2377;tukey;0.002480334365873582;6.7262243235492924;0.07772554772203644;4.5
BR16;IRRIG;D03;D05;3;2363;tukey;0.002490643546339877;6.723430340376796;0.07876344552243308;4.5
BR16;IRRIG;D03;D05;4;2375;tukey;0.002491785409353131;6.723121590243553;0.07780044289235166;4.5
BR16;IRRIG;D03;D05;5;2362;tukey;0.0024946041795889107;6.722360027828755;0.07895395260812132;4.5
BR16;IRRIG;D03;D06;1;2066;tukey;0.0007323443954576625;7.553436503979177;0.09061913965269308;5.0
BR16;IRRIG;D03;D06;2;2065;tukey;0.0007330513772612068;7.55277634627773;0.09048197278764292;5.0
BR16;IRRIG;D03;D06;3;2067;tukey;0.0007351883018975602;7.550784885727745;0.09075187954750263;5.0
BR16;IRRIG;D03;D06;4;2064;tukey;0.000735934693702367;7.550090690418114;0.09033509359086622;5.0
BR16;IRRIG;D03;D06;5;2068;tukey;0.0007383440928485641;7.547854666192779;0.09087484195325934;5.0
BR16;IRRIG;D04;D05;1;2336;tukey;0.024394468403024727;5.178241672133106;0.06588144671154628;3.25
BR16;IRRIG;D04;D05;2;2346;tukey;0.024486730432348947;5.175629023536703;0.06352875713231487;3.25
BR16;IRRIG;D04;D05;3;2345;tukey;0.02450467256170885;5.175122043630619;0.06375311886149371;3.25
BR16;IRRIG;D04;D05;4;2335;tukey;0.024535947870337527;5.174239169143536;0.06606868741658767;3.25
BR16;IRRIG;D04;D05;5;2337;tukey;0.024610348661735282;5.172143242577994;0.06562052630185289;3.25
BR16;IRRIG;D04;D06;1;2068;tukey;0.005042487092723036;6.248915699886038;0.07523584537867423;3.75
BR16;IRRIG;D04;D06;2;2069;tukey;0.005046207708578221;6.248419610919903;0.07536571832509897;3.75
BR16;IRRIG;D04;D06;3;2067;tukey;0.0050462684036411964;6.24841152115724;0.07509882724948491;3.75
BR16;IRRIG;D04;D06;4;2066;tukey;0.005060269690217112;6.246547942985385;0.07494030036453403;3.75
BR16;IRRIG;D04;D06;5;2070;tukey;0.005077007407948808;6.244326880387201;0.07549111033041644;3.75
BR16;IRRIG;D06;D09;1;2052;tukey;0.02339089168435793;5.207291611357492;-0.06231428092869018;-3.0
BR16;IRRIG;D06;D09;2;2051;tukey;0.023406382782635626;5.206834150270371;-0.062385298312565673;-3.0
BR16;IRRIG;D06;D09;3;2053;tukey;0.02351259914716275;5.20370535281032;-0.06222316923139204;-2.75
BR16;IRRIG;D06;D09;4;2050;tukey;0.023610211381648538;5.200841986964284;-0.06242468178617433;-3.0
BR16;IRRIG;D06;D09;5;2054;tukey;0.023766598263096128;5.196278198677398;-0.062107681152568595;-2.75
BR16;IRRIG;D06;D10;1;781;tukey;0.0028774755054463697;6.626222847112725;0.07682722877817638;4.75
BR16;IRRIG;D06;D10;2;782;tukey;0.0028910934984116565;6.6230451247827835;0.07672048503701578;4.75
BR16;IRRIG;D06;D10;3;780;tukey;0.0029033950188099844;6.6201875008634845;0.07687536919599713;4.75
BR16;IRRIG;D06;D10;4;783;tukey;0.002923240568128649;6.615602955684909;0.07655241093934206;4.75
BR16;IRRIG;D06;D10;5;779;tukey;0.002945052241507762;6.610600145408992;0.07690795606086098;4.75
BR16;NIRRIG;D02;D03;1;1942;tukey;0.01925266582402818;5.34136860229016;-0.04485671729427487;-3.75
BR16;NIRRIG;D02;D03;2;1943;tukey;0.01930095698242862;5.33964886059815;-0.04558435849948528;-3.75
BR16;NIRRIG;D02;D03;3;1941;tukey;0.019335512743607675;5.33842082088022;-0.0441300639416804;-4.0
BR16;NIRRIG;D02;D03;4;1944;tukey;0.019410554024281046;5.335761318515215;-0.04634201234437185;-3.75
BR16;NIRRIG;D02;D03;5;1940;tukey;0.019551113973067524;5.3308064996838445;-0.043404986931871115;-4.0
BR16;NIRRIG;D02;D04;1;1373;tukey;0.022933438625160174;5.220933751154257;0.03192747961464426;4.0
BR16;NIRRIG;D02;D04;2;1374;tukey;0.02294469300559232;5.220594988632887;0.03313945932527518;4.0
BR16;NIRRIG;D02;D04;3;1372;tukey;0.023391862982960365;5.207262919773327;0.030726011182131696;4.0
BR16;NIRRIG;D02;D04;4;1375;tukey;0.023419843169149468;5.2064368940316665;0.034373853042116265;4.25
BR16;NIRRIG;D02;D04;5;1376;tukey;0.024355199192166332;5.179356570962775;0.035644369592576;4.0
BR16;NIRRIG;D02;D06;1;1977;tukey;0.02486582325209874;5.164992424057235;-0.07979117067519836;-3.25
BR16;NIRRIG;D02;D06;2;1978;tukey;0.024872062691833063;5.16481866516051;-0.08089693059107694;-3.25
BR16;NIRRIG;D02;D06;3;1976;tukey;0.024903290365067;5.163949651206506;-0.07866479757378131;-3.25
BR16;NIRRIG;D02;D06;4;1975;tukey;0.024926555096826952;5.163302913260968;-0.07752613451804002;-3.25
BR16;NIRRIG;D02;D06;5;1979;tukey;0.024941900181188803;5.162876651666454;-0.0819863769672231;-3.25
BR16;NIRRIG;D03;D04;1;550;tukey;0.003544504453725672;6.485961470858411;-0.12865756802193773;-4.75
BR16;NIRRIG;D03;D04;2;551;tukey;0.0035495150381483764;6.485011420777022;-0.12854201731699266;-4.75
BR16;NIRRIG;D03;D04;3;553;tukey;0.0035499890995618344;6.484921604248998;-0.12846218723663183;-4.75
BR16;NIRRIG;D03;D04;4;552;tukey;0.0035512391705657675;6.48468482117741;-0.1284863284468427;-4.75
BR16;NIRRIG;D03;D04;5;554;tukey;0.0035517240812640294;6.484592993965069;-0.1284267744523957;-4.75
BR16;NIRRIG;D03;D10;1;1295;tukey;0.001148656411525728;7.246658236283391;-0.06927379034167847;-4.75
BR16;NIRRIG;D03;D10;2;1296;tukey;0.0011495072407506912;7.246155342989334;-0.06908648767008119;-5.0
BR16;NIRRIG;D03;D10;3;1301;tukey;0.001154541172623813;7.243187678083007;-0.06776233634599604;-5.0
BR16;NIRRIG;D03;D10;4;1299;tukey;0.0011548719430408694;7.2429931380593215;-0.0683533339629101;-5.0
