grupo;dia_a;dia_b;baseline;bandas;bandas_sig;prop_sig;dist_euclidiana;dif_abs_media;estat_q_mediana;rank_separacao
IRRIG;D02;D06;True;2051;1592;0.7762067284251585;2.8060651273304225;0.05275648435805431;6.301017835302184;1
IRRIG;D03;D06;False;2051;1280;0.6240858117991224;2.526881320409735;0.047565136916440404;5.763962668911477;2
IRRIG;D02;D09;True;2051;986;0.4807411019015115;1.9864614111613212;0.038119807396905875;5.051021979360441;3
IRRIG;D02;D10;True;2051;921;0.4490492442710873;1.9887490546504905;0.03550498574556031;4.72819826258522;4
IRRIG;D03;D10;False;2051;765;0.3729887859580692;1.817856920144637;0.031215951016813508;4.172860736483521;5
IRRIG;D03;D09;False;2051;744;0.3627498781082399;1.796335649610729;0.03365455482695733;4.299255884925619;6
IRRIG;D02;D04;True;2051;503;0.24524622135543636;1.9309282009399529;0.035273087882248644;3.8764158543438483;7
IRRIG;D02;D05;True;2051;480;0.2340321794246709;2.0377281768966142;0.035791999696027185;3.727483028365644;8
IRRIG;D03;D05;False;2051;446;0.2174549000487567;1.7380234075084573;0.030749578344929994;3.6102715421042255;9
IRRIG;D06;D10;False;2051;314;0.15309605070697221;1.2475502672135799;0.021538398207437418;2.8977348419757383;10
IRRIG;D04;D10;False;2051;281;0.1370063383715261;1.144810191381114;0.020140004338115965;2.4533476113913832;11
IRRIG;D03;D04;False;2051;189;0.09215017064846416;1.5980128210038695;0.030052069595557746;3.785240877393968;12
IRRIG;D06;D09;False;2051;162;0.07898586055582643;1.0859427775059303;0.017591935188610866;1.4402238247426946;13
IRRIG;D04;D09;False;2051;134;0.06533398342272062;1.0071905561464902;0.016229309000371242;1.871958315078389;14
IRRIG;D05;D09;False;2051;131;0.06387128230131643;0.9986104753141547;0.016971160479087713;2.0403333798562837;15
IRRIG;D05;D10;False;2051;117;0.05704534373476353;1.0016095157211875;0.01629840552513515;1.9097672388688194;16
IRRIG;D02;D03;True;2051;0;0.0;0.5171708740334229;0.007678614142659151;0.7284034381366888;17
IRRIG;D04;D05;False;2051;0;0.0;0.3485424102466712;0.006699818628650583;0.8237649098872931;17
IRRIG;D04;D06;False;2051;0;0.0;1.0596871091173923;0.01917108141381206;2.2905327455677456;17
IRRIG;D05;D06;False;2051;0;0.0;0.9740565383516427;0.018809760715838432;2.4104133635808607;17
IRRIG;D09;D10;False;2051;0;0.0;0.5316360248550931;0.009499075460664716;1.1688561936485813;17
NIRRIG;D03;D04;False;2051;1822;0.8883471477328133;4.004353846473562;0.08034937368897624;7.316533408329915;1
NIRRIG;D04;D05;False;2051;1704;0.8308142369575817;3.8010742677180835;0.07604380261829273;7.309117739313425;2
NIRRIG;D03;D10;False;2051;1648;0.80351048269137;4.397254373149953;0.08522650417973139;8.806818816815131;3
NIRRIG;D05;D10;False;2051;1591;0.7757191613846904;4.221797354124241;0.08105948699135175;8.218069842339107;4
NIRRIG;D04;D06;False;2051;1466;0.7147732813261823;3.5721657651470085;0.06866271517296545;5.835981025288406;5
NIRRIG;D06;D10;False;2051;1416;0.6903949293027791;3.9000830136647635;0.07469771622423786;6.970111635077018;6
NIRRIG;D09;D10;False;2051;952;0.4641638225255973;2.688848483785338;0.05155918713004116;4.701367005666796;7
