fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;1.0;1.0;1.0;1.0
2;48;16;1.0;1.0;1.0;1.0
3;48;16;1.0;1.0;1.0;1.0
4;48;16;1.0;1.0;1.0;1.0
