modelo;modo;genotipo;fold;banda_nm;importancia;desvio
gradient_boosting;agrupado;todos;1;1968;0.1664814814814815;0.017232175538791535
gradient_boosting;agrupado;todos;1;1531;0.15444444444444444;0.021851851851851848
gradient_boosting;agrupado;todos;1;1842;0.12629629629629627;0.013036826597628174
gradient_boosting;agrupado;todos;1;1367;0.021481481481481463;0.009340385342902584
gradient_boosting;agrupado;todos;1;1347;0.010185185185185169;0.007757911135427207
gradient_boosting;agrupado;todos;2;1968;0.21166666666666673;0.017303670408390086
gradient_boosting;agrupado;todos;2;1842;0.1668518518518519;0.011563328344999384
gradient_boosting;agrupado;todos;2;1531;0.15277777777777782;0.021938778765405818
gradient_boosting;agrupado;todos;2;1367;0.05407407407407413;0.009543776834611202
gradient_boosting;agrupado;todos;2;1347;0.02611111111111115;0.010506709594447614
gradient_boosting;agrupado;todos;3;1968;0.22962962962962963;0.02525589203145528
gradient_boosting;agrupado;todos;3;1531;0.17999999999999997;0.02050126296755266
gradient_boosting;agrupado;todos;3;1842;0.13388888888888886;0.016943179471098357
gradient_boosting;agrupado;todos;3;1347;0.045185185185185175;0.013384674814513085
gradient_boosting;agrupado;todos;3;1367;0.02185185185185185;0.009214707633055354
gradient_boosting;agrupado;todos;4;1968;0.2737918215613383;0.020972441101308345
gradient_boosting;agrupado;todos;4;1531;0.2397769516728625;0.02393370795958345
gradient_boosting;agrupado;todos;4;1842;0.14182156133829;0.018855867312878874
gradient_boosting;agrupado;todos;4;1367;0.041821561338290014;0.01203881406298236
gradient_boosting;agrupado;todos;4;1347;0.041263940520446137;0.01095866392043397
gradient_boosting;agrupado;todos;5;1968;0.24944237918215612;0.022761739055526597
gradient_boosting;agrupado;todos;5;1531;0.16691449814126388;0.016157110640967077
gradient_boosting;agrupado;todos;5;1842;0.15297397769516724;0.020505995396725173
gradient_boosting;agrupado;todos;5;1347;0.04052044609665423;0.008630622131036339
gradient_boosting;agrupado;todos;5;1367;0.0286245353159851;0.00926389278392351
