modelo;modo;genotipo;fold;real;predito;n
gradient_boosting;agrupado;todos;1;IRRIG;IRRIG;124
gradient_boosting;agrupado;todos;1;NIRRIG;IRRIG;13
gradient_boosting;agrupado;todos;1;IRRIG;NIRRIG;11
gradient_boosting;agrupado;todos;1;NIRRIG;NIRRIG;122
gradient_boosting;agrupado;todos;2;IRRIG;IRRIG;129
gradient_boosting;agrupado;todos;2;NIRRIG;IRRIG;7
gradient_boosting;agrupado;todos;2;IRRIG;NIRRIG;7
gradient_boosting;agrupado;todos;2;NIRRIG;NIRRIG;127
gradient_boosting;agrupado;todos;3;IRRIG;IRRIG;129
gradient_boosting;agrupado;todos;3;NIRRIG;IRRIG;7
gradient_boosting;agrupado;todos;3;IRRIG;NIRRIG;6
gradient_boosting;agrupado;todos;3;NIRRIG;NIRRIG;128
gradient_boosting;agrupado;todos;4;IRRIG;IRRIG;134
gradient_boosting;agrupado;todos;4;NIRRIG;IRRIG;4
gradient_boosting;agrupado;todos;4;IRRIG;NIRRIG;1
gradient_boosting;agrupado;todos;4;NIRRIG;NIRRIG;130
gradient_boosting;agrupado;todos;5;IRRIG;IRRIG;126
gradient_boosting;agrupado;todos;5;NIRRIG;IRRIG;4
gradient_boosting;agrupado;todos;5;IRRIG;NIRRIG;9
gradient_boosting;agrupado;todos;5;NIRRIG;NIRRIG;130
