bloco;genotipo;condicao;data_cra;dia_espectral;CRA;WBI;SRWI;NDWI;Clorofila a (razão);Clorofila b (razão);MCARI (clorofila total)
B3;EMB48;NIRRIG;02/03;D09M;68.75000000;1.01730639;1.05782400;0.02809959;1.02676603;1.05776779;0.17278242
B4;EMB48;NIRRIG;02/03;D09M;70.23661270;1.01567750;1.05373752;0.02616572;0.99219407;1.03624363;0.20589982
B1;CD202;IRRIG;02/03;D09M;94.17946645;1.01904246;1.07556187;0.03640550;1.32215902;1.26202935;0.06025724
B2;CD202;IRRIG;02/03;D09M;91.75500589;1.01694576;1.05927845;0.02878603;1.19467492;1.16846761;0.12573918
B3;CD202;IRRIG;02/03;D09M;86.68459987;1.01856391;1.07886883;0.03793834;1.23256476;1.20451130;0.08755991
B4;CD202;IRRIG;02/03;D09M;88.10086682;1.01847048;1.05880442;0.02856241;1.18118974;1.18591975;0.11325906
B1;CD202;NIRRIG;02/03;D09M;60.93073593;1.01449638;1.06335455;0.03070464;0.97064454;1.00539491;0.23229242
B2;CD202;NIRRIG;02/03;D09M;66.94473410;1.01400309;1.04634641;0.02264837;1.04239043;1.05316502;0.19173063
B3;CD202;NIRRIG;02/03;D09M;72.02007528;1.01451661;1.06255114;0.03032707;1.11585681;1.11027898;0.15364575
B4;CD202;NIRRIG;02/03;D09M;58.94632207;1.01667189;1.05056146;0.02465738;1.04043140;1.07817473;0.17299306
B1;BR16;IRRIG;03/03;D10M;87.35083532;1.01815227;1.06241392;0.03026256;1.20926493;1.21109632;0.09986213
B2;BR16;IRRIG;03/03;D10M;91.36522754;1.01623819;1.05169827;0.02519779;1.23024024;1.21171910;0.10178125
B3;BR16;IRRIG;03/03;D10M;95.81239531;1.01633478;1.05543390;0.02696944;1.22414913;1.19737513;0.08710490
B4;BR16;IRRIG;03/03;D10M;95.44259422;1.01817214;1.05711352;0.02776391;1.19908846;1.18409037;0.11717720
B1;BR16;NIRRIG;03/03;D10M;88.65698730;1.01721205;1.06170620;0.02992967;1.18780136;1.18513244;0.11766902
B2;BR16;NIRRIG;03/03;D10M;87.33333333;1.01758107;1.05601003;0.02724210;1.12617476;1.13958177;0.11834091
B3;BR16;NIRRIG;03/03;D10M;95.27363184;1.01799232;1.06184232;0.02999372;1.11674885;1.09436593;0.07891240
B4;BR16;NIRRIG;03/03;D10M;91.80633147;1.01886450;1.06168438;0.02991941;1.04219330;1.04047280;0.11217823
B1;EMB48;IRRIG;03/03;D10M;90.08528785;1.01422793;1.05167912;0.02518869;1.24771995;1.21452350;0.09507188
B2;EMB48;IRRIG;03/03;D10M;92.47027741;1.01517720;1.05106037;0.02489462;1.21439366;1.20095867;0.11825380
B3;EMB48;IRRIG;03/03;D10M;96.05734767;1.01721566;1.05642685;0.02743927;1.27520197;1.23738490;0.07716232
B4;EMB48;IRRIG;03/03;D10M;88.69257951;1.01683510;1.05731111;0.02785729;1.18592156;1.19359474;0.10652165
B1;EMB48;NIRRIG;03/03;D10M;88.29516539;1.01889579;1.07213261;0.03481081;0.98791416;1.03627234;0.18976845
B2;EMB48;NIRRIG;03/03;D10M;93.61702128;1.01720652;1.06171675;0.02993464;1.00384711;1.04029605;0.17886551
B3;EMB48;NIRRIG;03/03;D10M;94.52590420;1.01773446;1.06171800;0.02993523;1.08321815;1.09863281;0.16346192
B4;EMB48;NIRRIG;03/03;D10M;87.96498906;1.01735055;1.05387415;0.02623050;1.04560552;1.09366581;0.20447067
B1;CD202;IRRIG;03/03;D10M;92.82103134;1.01927772;1.06310546;0.03058761;1.30895842;1.26205967;0.06738959
B2;CD202;IRRIG;03/03;D10M;94.03620873;1.01757536;1.06017519;0.02920877;1.26149398;1.22476454;0.10113951
B3;CD202;IRRIG;03/03;D10M;94.90392648;1.01896433;1.05885028;0.02858405;1.28246988;1.25360231;0.08272331
B4;CD202;IRRIG;03/03;D10M;94.28090833;1.01980931;1.05817185;0.02826385;1.13753450;1.15409679;0.12285392
B1;CD202;NIRRIG;03/03;D10M;93.10344828;1.01672212;1.05787697;0.02812460;1.11127805;1.12022178;0.16373038
B2;CD202;NIRRIG;03/03;D10M;92.52450980;1.01697894;1.05556332;0.02703070;1.07950016;1.10523475;0.18787011
B3;CD202;NIRRIG;03/03;D10M;94.49003517;1.01812960;1.05849864;0.02841811;1.18522427;1.19079880;0.15442046
B4;CD202;NIRRIG;03/03;D10M;92.65873016;1.01969341;1.06402175;0.03101796;1.06201550;1.10458710;0.17705619
