metrica;media;desvio
accuracy;0.84375;0.1875
balanced_accuracy;0.84375;0.1875
precision;0.9;0.2
recall;0.8125;0.23935677693908453
f1;0.8333333333333333;0.19245008972987526
auc_roc;0.880859375;0.23828125
