banda_nm;vip_selecao;vip_modelo_final;rho_spearman_chl_total
701;1.7455844818436912;1.4853715940437215;-0.4777544444188589
704;1.8666526952651707;1.468912240060878;-0.45909420789388933
538;1.4625894288886803;1.459663350087466;-0.4210195302482034
548;1.4966943910948562;1.4477593782253726;-0.4278908909107956
551;1.5018111574095032;1.4456986779966972;-0.4293347624607068
560;1.4422226627620476;1.3868334332695575;-0.4179445014433969
529;1.3490151067080758;1.3774856374036253;-0.39358976713174876
1082;1.059177441247699;1.2730261108848067;0.23970165894454526
1033;1.0011224502317768;1.27252177109828;0.23661650658811806
1091;1.106919145935214;1.2725118369470643;0.24076336642077273
1096;1.1188338325683147;1.271973809332245;0.24156059611090772
1023;1.0164436238260144;1.2718643929161206;0.23668104422970043
1107;1.0849467700147455;1.271184290190482;0.24064061835737094
1013;1.0524830849900717;1.2711207096081787;0.2346044507034916
1115;1.0371233870765886;1.2688877860499883;0.2400066309371207
570;1.2915424090335281;1.2260456949957301;-0.3793838933199144
696;1.3350620053015856;1.1829174530292732;-0.3743335065051067
714;1.7618344850014116;1.1240271218647069;-0.2915038725879845
352;1.608349286175479;1.1077730643932546;-0.06840483830148897
580;1.2076066139591233;1.0966436081163495;-0.3257438284387185
590;1.2558752645801912;1.0663026460837775;-0.2881301990103656
600;1.2843358580769908;1.052730655462695;-0.2623774811521553
630;1.4113946327754048;1.0243590623168985;-0.17067548766233206
620;1.366951939357289;1.0164479734149505;-0.18368942949409414
610;1.2991574545230051;1.0158179351017136;-0.2268396866103671
640;1.4742759074989682;1.0064539365429455;-0.13455056695522064
519;1.0216933081268795;0.9902468175866995;-0.28538671652113906
1997;1.0028596439901833;0.9557782396333222;-0.034445384389642765
650;1.507547859480746;0.9472384973292695;-0.08125610577412218
1984;1.02238574598816;0.9373574643745147;-0.04007660997869164
1974;1.035652244056664;0.9116241141623824;-0.04455881245878403
660;1.4748447920282146;0.8863331684960597;-0.05621485227418499
1965;1.0531482627397697;0.8861992051747889;-0.04829187211894002
724;1.343098609134757;0.8635034280932307;-0.09383646541679573
1394;1.0003236175555452;0.8591829630551081;0.1051216945860402
369;1.4254551649637304;0.8539487890992358;-0.07289467956693947
1954;1.0818452854036602;0.8501446302683959;-0.05447992751746195
381;1.4602912038699332;0.8455945513001648;-0.07902444395166831
406;1.2920316011075474;0.8352856304962093;-0.06864341791835374
499;1.3158294038389953;0.8217559384517321;-0.03795954626361856
509;1.1957454110156347;0.8191058661906918;-0.1296138115752996
1944;1.1148031848538953;0.8152557800297825;-0.06098826423687757
396;1.3543800844455507;0.8120798217187993;-0.0711635061181466
487;1.3122345883689046;0.8100621081833839;-0.016331207596262852
422;1.2700213836675551;0.8038659496791751;-0.04687966632936671
470;1.3135312702291597;0.8022151589947294;-0.01501640016459078
410;1.2805762461636923;0.8018666130654355;-0.059551830088538496
430;1.2694447096551384;0.7986353326170207;-0.04273280387292513
461;1.2864982043174151;0.7979872086454789;-0.02420414648128939
450;1.2826986248371957;0.7946590411905865;-0.030346611427186743
689;1.2858868665362306;0.7945822461451683;-0.14935149161714947
444;1.2713317988534802;0.7931711967669877;-0.031994239696738605
378;1.3724658208603333;0.7888848694434254;-0.08512768013503522
1935;1.1446330011796488;0.7847640478884137;-0.06690153321548774
1404;1.047745651763123;0.7802738921078167;0.06907678904031704
679;1.363641511327132;0.7780205507711524;-0.062888807902892
1903;1.2745782668717132;0.7624469252615752;-0.06176378843826908
1912;1.2300804206445086;0.7583493882456683;-0.07220623193508509
1924;1.177931720660184;0.7569715510594056;-0.07059283556075478
2302;1.0149621638042317;0.7566067774942579;-0.0876648952599887
1916;1.2113015839923458;0.754475430945485;-0.07227461163784078
2497;1.187135621132774;0.7504634209923106;-0.08564904304350446
2474;1.0399213348359861;0.7485600362945882;-0.0899655292884521
1893;1.3320933662499679;0.7459393492403026;-0.039729878335680535
1414;1.0433191783522484;0.7457027901127922;0.03815693150260464
2293;1.00328592302409;0.7450052063253816;-0.08104282705605774
2490;1.2162502923653151;0.7408513653541898;-0.08667790381947584
1874;1.0974426819246752;0.7405774038906492;0.03135770114531035
2283;1.0009878080414392;0.7318266966196143;-0.07440557352469564
