n_componentes;balanced_accuracy_cv;desvio_cv
1;0.46875;0.05412658773652741
2;0.5625;0.10825317547305482
3;0.6875;0.11692679333668567
4;0.6875;0.2072890493972125
5;0.75;0.25
6;0.75;0.25
7;0.828125;0.20432338797846908
8;0.75;0.2209708691207961
9;0.671875;0.18944305707784595
10;0.671875;0.19452968121857395
