dia;posicao_dia;posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
D02;1;1;1325;0.0260416666666666;0.0270632938682637;0.0241110735559347;1.201848975466066e-05;0.0001304228703005;0.2929086538461539;-0.63671875;True;0.63671875
D02;2;2;1335;0.0208333333333333;0.0208333333333333;0.0505936231760258;2.285823180339581e-06;5.2676666773893045e-05;0.3441687344913152;-0.6875;True;0.6875
D02;3;3;1315;0.015625;0.0270632938682637;0.0444396348555064;4.467771099432264e-05;0.0003127439769602;0.252605459057072;-0.59375;True;0.59375
D02;4;4;1305;0.015625;0.0270632938682637;0.0397003926170303;7.894407298562638e-05;0.0004833262498314;0.2352163461538461;-0.57421875;True;0.57421875
D02;5;5;1235;0.0104166666666666;0.0180421959121758;0.0118990458639646;0.000288590960955;0.0011767396837353;0.1958553039702233;-0.52734375;True;0.52734375
D03;1;1;1936;0.0104166666666666;0.0180421959121758;0.0823594470046083;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
D03;2;2;1530;0.0052083333333333;0.0090210979560879;0.0;1.758925589356902e-07;5.281927355448032e-07;0.42389403691067;0.759765625;True;0.759765625
D03;3;3;1986;0.0;0.0;0.0717582417582417;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
D03;4;4;1966;0.0;0.0;0.0622080386406762;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
D03;5;5;1956;0.0;0.0;0.0617204301075268;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
D04;1;1;1968;0.0572916666666666;0.0992320775169669;0.0456858817238009;5.6600257038351806e-11;4.7462581345843605e-09;0.6763647642679901;0.953125;True;0.953125
D04;2;2;1348;0.0572916666666666;0.0992320775169669;0.0246125365390448;4.773932691857704e-07;1.9427253871032045e-06;0.3927913694168735;-0.732421875;True;0.732421875
D04;3;3;2447;0.015625;0.0270632938682637;0.0191860038093302;5.630269350745034e-09;1.0692298554053764e-07;0.5315873138957816;0.84765625;True;0.84765625
D04;4;4;2438;0.015625;0.0270632938682637;0.0073389631714754;1.7063912624987695e-08;2.2011374084182242e-07;0.4968207196029777;0.8203125;True;0.8203125
D04;5;5;1568;0.0104166666666666;0.0180421959121758;0.0522992587807416;1.4594891509357258e-08;2.036334862972227e-07;0.5017175868486352;0.82421875;True;0.82421875
D05;1;1;1960;0.0;0.0;0.0871111111111111;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;1.0
D05;2;2;1940;0.0;0.0;0.0758260359997332;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;1.0
D05;3;3;1950;0.0;0.0;0.0754825504909995;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;1.0
D05;4;4;1920;0.0;0.0;0.075287462638093;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;1.0
D05;5;5;1900;0.0;0.0;0.0647968292263835;1.8991040067982737e-11;3.5132734484348045e-10;0.710840570719603;0.9765625;True;0.9765625
D06;1;1;1522;0.0;0.0;0.0599999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;1.0
D06;2;2;1942;0.0;0.0;0.0499999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;1.0
D06;3;3;2432;0.0;0.0;0.0499999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;1.0
D06;4;4;763;0.0;0.0;0.0399999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;-1.0;True;1.0
D06;5;5;1902;0.0;0.0;0.0399999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;1.0
D09;1;1;771;0.0;0.0;0.05;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;1.0
D09;2;2;1460;0.0;0.0;0.05;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;1.0
D09;3;3;675;0.0;0.0;0.04;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;1.0
D09;4;4;821;0.0;0.0;0.04;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;1.0
D09;5;5;2446;0.0;0.0;0.04;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;1.0
D10;1;1;1347;0.0833333333333333;0.0883883476483184;0.0263917725075868;1.1557460629092276e-10;2.3704351750268263e-09;0.6538461538461539;-0.9375;True;0.9375
D10;2;2;405;0.0572916666666666;0.0992320775169669;0.0302234238835919;7.496890411186199e-12;1.0167393306209838e-09;0.7402101426799007;-0.99609375;True;0.99609375
D10;3;3;720;0.0520833333333333;0.0598391942347711;0.0494070569119064;1.9497641198802688e-09;1.5033707555918913e-08;0.5648912453473945;0.873046875;True;0.873046875
D10;4;4;435;0.0520833333333333;0.090210979560879;0.0369346673660399;2.0820600627050864e-11;1.0167393306209838e-09;0.7079356001861042;-0.974609375;True;0.974609375
D10;5;5;1357;0.0520833333333333;0.090210979560879;0.0092611011770675;1.65189624758704e-09;1.3606583147795257e-08;0.5701021634615385;-0.876953125;True;0.876953125
