fold;banda_nm;vip
1;405;1.36985973977858
1;415;1.2749405963477836
1;425;1.2073904359764571
1;435;1.14919943859803
1;445;1.1023418437009602
1;455;1.0166563360253338
1;465;0.9633655330658379
1;475;0.9057787762801677
1;485;0.8531741753393997
1;495;0.7852172048002843
1;505;0.7064369005457987
1;515;0.7182042898029628
1;525;1.01071286247526
1;535;1.2414219445583055
1;545;1.368784694464559
1;555;1.42190870214464
1;565;1.336882728843448
1;575;1.1812336274808173
1;585;1.0768773481414275
1;595;1.0306620057676232
1;605;0.9766204635331104
1;615;0.8937321439171249
1;625;0.8570836426442319
1;635;0.851917449911154
1;645;0.7744655998358626
1;655;0.724006467741621
1;665;0.6932377997460466
1;675;0.6812767557795121
1;685;0.6784056857743962
1;694;0.9741172649164828
1;702;2.1278169531086926
1;711;2.7355866008190914
1;721;2.779084543466425
1;731;2.311080830574496
1;741;1.095910062410527
1;751;0.6612676497893332
1;761;0.6468811867218844
1;771;0.6573021563279394
1;781;0.6678587118521845
1;791;0.6746866120278487
1;801;0.6778201113091233
1;811;0.6818958380673618
1;821;0.6934518755217558
1;831;0.7113376133879399
1;841;0.7439402649286581
1;851;0.7798229142515464
1;861;0.8130940591200042
1;871;0.8301530480646931
1;881;0.8450882507050651
1;891;0.857200246646625
1;901;0.8532296633451839
1;911;0.8588432641474348
1;921;0.8618092441797062
1;931;0.8518901191844451
1;941;0.8544607905570321
1;951;0.8520251523422118
1;961;0.8238927314087657
1;971;0.8444841090527045
1;981;0.8551857325811928
1;991;0.8667243718746813
1;1001;0.8707776281610036
1;1011;0.8797120205572974
1;1021;0.8984742148753111
1;1031;0.8723391011153415
1;1041;0.8713478230646984
1;1051;0.88117501964524
1;1061;0.8689390593452199
1;1071;0.843378489422078
1;1081;0.8225817469162542
1;1091;0.8090655530676785
1;1101;0.7812716557833553
1;1111;0.7768463162839404
1;1121;0.7687758879987427
1;1131;0.7552193883029551
1;1141;0.7152487904336357
1;1151;0.6838368412981672
1;1161;0.6775341077240793
1;1171;0.6675853269588783
1;1181;0.6583831715955807
