fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;0.8125;0.8235294117647058;0.625;0.84375
2;48;16;0.625;0.6666666666666666;0.25;0.8125
3;48;16;0.8125;0.8;0.625;0.78125
4;48;16;0.75;0.7142857142857143;0.5;0.75
