metrica;media;desvio
accuracy;0.9375;0.125
balanced_accuracy;0.9375;0.125
precision;0.9166666666666666;0.16666666666666669
recall;1.0;0.0
f1;0.95;0.09999999999999998
auc_roc;0.9375;0.125
