fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;IRRIG;0;0;0.25
1;IRRIG;0;0;0.13
1;NIRRIG;1;1;0.88
1;NIRRIG;1;1;0.86
1;IRRIG;0;0;0.08
1;NIRRIG;1;1;0.92
1;NIRRIG;1;1;0.94
1;NIRRIG;1;1;0.94
1;IRRIG;0;0;0.28
1;IRRIG;0;0;0.28
1;IRRIG;0;0;0.29
1;NIRRIG;1;1;0.95
1;NIRRIG;1;1;0.78
1;NIRRIG;1;1;0.79
1;IRRIG;0;0;0.02
1;IRRIG;0;0;0.12
2;IRRIG;0;0;0.11
2;IRRIG;0;0;0.1
2;IRRIG;0;0;0.29
2;IRRIG;0;0;0.14
2;NIRRIG;1;1;0.92
2;IRRIG;0;0;0.03
2;IRRIG;0;0;0.03
2;NIRRIG;1;1;0.96
2;NIRRIG;1;1;0.96
2;NIRRIG;1;1;0.96
2;IRRIG;0;0;0.04
2;IRRIG;0;0;0.09
2;NIRRIG;1;1;0.64
2;NIRRIG;1;1;0.81
2;NIRRIG;1;1;0.89
2;NIRRIG;1;1;0.87
3;IRRIG;0;0;0.01
3;IRRIG;0;0;0.15
3;NIRRIG;1;1;0.94
3;NIRRIG;1;1;0.85
3;IRRIG;0;0;0.02
3;NIRRIG;1;1;0.88
3;NIRRIG;1;1;0.94
3;IRRIG;0;0;0.04
3;IRRIG;0;0;0.04
3;IRRIG;0;0;0.05
3;NIRRIG;1;1;0.73
3;NIRRIG;1;1;0.79
3;NIRRIG;1;1;0.61
3;IRRIG;0;0;0.01
3;IRRIG;0;0;0.02
3;NIRRIG;1;1;0.78
4;IRRIG;0;0;0.17
4;IRRIG;0;0;0.03
4;IRRIG;0;0;0.13
4;IRRIG;0;0;0.13
4;NIRRIG;1;1;0.97
4;NIRRIG;1;1;0.99
4;NIRRIG;1;1;0.99
4;NIRRIG;1;1;0.87
4;IRRIG;0;0;0.07
4;IRRIG;0;0;0.02
4;NIRRIG;1;1;0.91
4;IRRIG;0;0;0.18
4;IRRIG;0;0;0.03
4;NIRRIG;1;1;0.83
4;NIRRIG;1;1;0.93
4;NIRRIG;1;1;0.93
