seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;144;48;0.9791666666666666;0.9795918367346939;0.9583333333333334;0.9991319444444444
42;2;144;48;0.9375;0.9333333333333333;0.875;1.0
42;3;144;48;0.9791666666666666;0.9787234042553191;0.9583333333333334;0.998263888888889
42;4;144;48;0.9791666666666666;0.9787234042553191;0.9583333333333334;1.0
43;1;144;48;0.9791666666666666;0.9787234042553191;0.9583333333333334;1.0
43;2;144;48;1.0;1.0;1.0;1.0
43;3;144;48;0.9375;0.9411764705882353;0.875;0.9913194444444444
43;4;144;48;0.9166666666666666;0.9090909090909091;0.8333333333333334;0.998263888888889
44;1;144;48;0.9791666666666666;0.9795918367346939;0.9583333333333334;1.0
44;2;144;48;0.9375;0.9333333333333333;0.875;0.9965277777777778
44;3;144;48;0.8958333333333334;0.8837209302325582;0.7916666666666666;0.9800347222222222
44;4;144;48;0.9791666666666666;0.9787234042553191;0.9583333333333334;0.998263888888889
45;1;144;48;0.9583333333333334;0.9583333333333334;0.9166666666666666;0.998263888888889
45;2;144;48;0.9791666666666666;0.9787234042553191;0.9583333333333334;1.0
45;3;144;48;0.9166666666666666;0.9090909090909091;0.8333333333333334;0.8524305555555556
45;4;144;48;1.0;1.0;1.0;1.0
46;1;144;48;0.9583333333333334;0.9565217391304348;0.9166666666666666;0.9921875
46;2;144;48;0.9583333333333334;0.96;0.9166666666666666;1.0
46;3;144;48;0.9583333333333334;0.96;0.9166666666666666;1.0
46;4;144;48;1.0;1.0;1.0;1.0
