genotipo;fold;n_treino;n_teste;accuracy;precision;recall;f1_score;kappa;auc_roc
EMB48;1;355;93;0.8817204301075269;0.8490566037735849;0.9375;0.8910891089108911;0.7623693379790941;0.9469907407407407
EMB48;2;361;87;0.8275862068965517;0.7631578947368421;0.8285714285714286;0.7945205479452054;0.6464372798699539;0.9271978021978021
EMB48;3;369;79;0.8481012658227848;0.8636363636363636;0.8636363636363636;0.8636363636363636;0.6922077922077923;0.9532467532467532
EMB48;4;350;98;0.8469387755102041;0.9310344827586207;0.8307692307692308;0.8780487804878049;0.6743464776251662;0.9321678321678323
EMB48;5;357;91;0.8461538461538461;0.7368421052631579;0.875;0.8;0.6764855256475368;0.9292902542372881
